species;BER_carrelet_18;BER_carrelet_18;BER_carrip_18;BER_carrip_18;BER_claphp_18;BER_claphp_18;BER_lacrip_18;BER_lacrip_18;BER_lactor_18;BER_lactor_18;EYCH_meleze_18;EYCH_meleze_18;EYCH_torr1_18;EYCH_torr1_18;EYCH_torr2_18;EYCH_torr2_18;STANDRE_arpont_18;STANDRE_arpont_18;STANDRE_plah_18;STANDRE_plah_18;STANDRE_plabABCD_18;STANDRE_plabABCD_18;STANDRE_plabEFGH_18;STANDRE_plabEFGH_18;VALL_glabl_18;VALL_glabl_18;VALL_morba_18;VALL_morba_18;VALL_morhautABC_18;VALL_morhautABC_18;VALL_morhautDE_18;VALL_morhautDE_18;VILL_bas_18;VILL_bas_18;VILL_haut_18;VILL_haut_18;BER_carrelet_21;BER_carrelet_21;BER_carrip_21;BER_carrip_21;BER_claphp_21;BER_claphp_21;BER_lacrip_21;BER_lacrip_21;BER_lactor_21;BER_lactor_21;EYCH_meleze_21;EYCH_meleze_21;EYCH_torr1_21;EYCH_torr1_21;EYCH_torr2_21;EYCH_torr2_21;STANDRE_arpont_21;STANDRE_arpont_21;STANDRE_plah_21;STANDRE_plah_21;STANDRE_plabABCD_21;STANDRE_plabABCD_21;STANDRE_plabEFGH_21;STANDRE_plabEFGH_21;VALL_glabl_21;VALL_glabl_21;VALL_morba_21;VALL_morba_21;VALL_morhautABC_21;VALL_morhautABC_21;VALL_morhautDE_21;VALL_morhautDE_21;VILL_bas_21;VILL_bas_21;VILL_haut_21;VILL_haut_21
Achillea nana;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;8%;1;;1;1%;1;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;3;1;;0;1;1;;0
Achnatherum calamagrostis;;0;;0;;0;1%;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;4%;1;;;;;;;;;;;;0;;0;1;1;;;;;;;;;;0;;0;;0;;0;;0;;0
Agrostis alpina;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;6;1
Agrostis rupestris;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;+;1;+;1;6;1;;0
Agrostis sp. ;;0;;0;;0;;0;;0;3%;1;;0;;0;;0;;0;;0;;0;;0;1%;1;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Ajuga sp. ;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;+;1;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Alchemilla alpigena;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;3;1;;0;;0;;;;;;;;;+;1;;0;1;1;10;1;;0;;0
Alchemilla sp.;;0;;0;;0;;0;;0;3%;1;;0;;0;2%;1;;0;2%;1;;1;;0;;0;1%;1;2%;1;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Alchemilla sp.2;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;1%;1;;1;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Alnus viridis;5%;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Androsace adfinis;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;+;1;;0;;0;;0
Anthyllis vulneraria;;0;+;1;;0;;0;2%;1;+;1;;0;;0;+;1;;0;1%;1;3%;1;;0;;0;;0;;0;;0;;0;;;;;;;;;;;+;1;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Arabis alpina;+;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Arenaria sp.;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;20%;1;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Artemisia umbelliformis;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;+;1;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;+;1
