species;year;BER_carrelet;BER_carrip;BER_claphp;BER_lacrip;BER_lactor;EYCH_meleze;EYCH_torr1;EYCH_torr2;STANDRE_arpont;STANDRE_plah;STANDRE_plabABCD;STANDRE_plabEFGH;VALL_glabl;VALL_morba;VALL_morhautABC;VALL_morhautDE;VILL_bas;VILL_haut
Achillea nana;2018;;;;;;;;;;;;;;;8;;1;
Achillea distans;2018;;;;;;;;;;;;;;;;;;
Achnatherum calamagrostis;2018;;;;1;;;;;;;;;;;;;;4
Agrostis alpina;2018;;;;;;;;;;;;;;;;;;
Agrostis rupestris;2018;;;;;;;;;;;;;;;;;;
Agrostis sp. ;2018;;;;;;3;;;;;;;;1;;;;
Ajuga sp. ;2018;;;;;;;;;;;+;;;;;;;
Alchemilla alpigena;2018;;;;;;;;;;;;;;;;;;
Alchemilla fissa;2018;;;;;;;;;;;;;;;;;;
Alchemilla sp.;2018;;;;;;3;;;2;;2;;;;1;2;;
Alchemilla sp.2;2018;;;;;;;;;;;1;;;;;;;
Alchemilla transiens;2018;;;;;;;;;;;;;;;;;;
Alnus viridis;2018;5;;;;;;;;;;;;;;;;;
Androsace adfinis;2018;;;;;;;;;;;;;;;;;;
Anthoxatum odoratum;2018;;;;;;;;;;;;;;;;;;
Anthyllis vulneraria;2018;;+;;;2;+;;;+;;1;3;;;;;;
Arabis alpina;2018;+;;;;;;;;;;;;;;;;;
Arenaria sp.;2018;;;;;;;;;;;;;;20;;;;
Artemisia umbelliformis;2018;;;;;;;;;;;;;;;;;;+
Asperula cynanchica;2018;;;;;;+;;;;;;;;;;;;
Betula pendula;2018;3;;;6;;;;;;;;;;;;;;
Biscutella laevigata;2018;;8;;;;+;+;;;;;;;;;;;
Botrychum lunaria;2018;;;;;;;;;;;;;;;;+;;+
Campanula cochlearifolia;2018;;;;;;;;;;;+;+;;;;;2;3
Campanula rotundifolia;2018;;;;;;1;;;;;;;;;;;;
Campanula scheuchzeri;2018;;;;;;;;;;;;;6;;;;;
Cardamine alpina;2018;;;;;;;;;;;;;;;;+;;
Cardamine resedifolia;2018;;;;;;;;;;;;;;;+;;+;
Carduus defloratus;2018;;;;;;;;;;;;;;;;;;1
Carex ferruginea;2018;;;;;;;;;;;;;;;;;;
Centaurea nervosa;2018;;1;;;;;;;;;;;;;;;;
Cerastium alpinum;2018;;;;;;;;;;;1;1;;;;;;
Cerastium arvense;2018;;;;+;;;;;;1;;;+;;6;;;
Cerastium fontanum;2018;;;;;;;;;;;;;;;;;;
Cirsium sp. ;2018;;;;;;;;;;;;;;;;;;
Clinopodium alpinum;2018;;;;;;;;;;;;;;;;;;
Coincya richeri;2018;;5;;;;;;;;;;;;;;;;
Deschampsia cespitosa;2018;;;;;;;;;;;;;;;;;;
Deschampsia flexuosa;2018;;;;;;;3;;;;;;;;;;;
Dianthus saxicola;2018;;;;;;+;;;;;;;;;;;;
Draba siliquosa;2018;;;;;;;;;;;;;;;;;+;
Epilobium dodonaei;2018;;;;+;;;15;NA;;;;;;;;NA;;
Epilobium fleischeri;2018;1;5;;;;;;;;;;;;2;;;;
Epilobium collinum;2018;;;;;;;;;;+;;2;;;;;;
Equisetum arvense;2018;;;;;;;;;;;;;;;;;;
Equisetum sp.;2018;;;;;;;;;;;1;+;;;;;;
Erigeron sp.;2018;;;;;;;;;;;;;;;3;;;
Erigeron uniflorus;2018;;;;;;;;;;;;;;;;;+;2
Euphorbia cyparissias;2018;+;;;;;;;;;;;;;;;;;
Euphrasia alpina;2018;;;;;;;;;;;;;;+;;;;
Euphrasia minima;2018;;;;;;;;;;;;;;;;;;+
Euphrasia salizburgensis;2018;;;;;;;;;;;;;;;;;;
Festuca sp.;2018;;25;;1;;;3;NA;5;3;1;3;;30;10;1;8;25
Festuca quadriflora;2018;;;;;;;;;;;;;;;;;;
Festuca rubra gp.;2018;;;;;;;;;;;;;;;;;;
Festuca violacea;2018;;;;;;;;;;;;;1;;;;;
Galium obliquum;2018;;;;;;;;;;;;;;;;;;
Galium pumilum;2018;;;;;;;;;;;;;;;;;;
Galium sp.;2018;;;;;;;;;1;;;;;;;;;
Globularia bisnagarica;2018;;;;;;5;;;;;;;;;;;;
Globularia cordifolia;2018;;;;;;;;;;;;;;;;;;
Helictotrichon sedenense;2018;;;;;;;;;;;;;;;;;;
Helictotrichon sempervirens;2018;;8;;;;;;;;;;;;;;;;
Helianthemum nummularium;2018;;;;;;;;;;;;;;;;;;
Hieracium morisianum;2018;;+;;;;;;;;;;;;;;;;
Hieracium piliferum;2018;;;;;;;;;;;;;;;;;;+
Hieracium umbrosum;2018;;;;NA;;;;;;;;;;;;;;
Hieracium sp.;2018;;;;;;;;;;;;;;;;;;
Hippophae rhamnoides;2018;;;;3;;;;;;;;;;;;;;
Imperatoria ostruthium;2018;;;;;;;;;;+;1;+;;;;;;
Jacobaea incana;2018;;;;;;;;;;;;;;;6;;;
Juncus trifidus;2018;;;;;;;;;;;;;;;1;;;
Larix decidua;2018;;;;;;;;;;;;;;;;;;
Leontodon hispidus;2018;;;;;;;;;;1;;;;;;;;
Leontodon pyrenaicus;2018;;+;;;;;;;;;;;;;;;;
Leontodon sp.;2018;;;;;;;;;1;5;;+;;;;;;
Leucanthemopsis alpina;2018;;;;;;;;;;;;;+;;2;;;5
