;species;year;BER_carrelet;BER_carrelet_rip;BER_clapier;BER_lac1;BER_lac2;EYCH_meleze;EYCH_torr_ABCD;EYCH_torr_EFG;MAUR_arpont;MAUR_planay_haut;MAUR_planay_torr_ABCD;MAUR_planay_torr_EFGH;VALL_gla_bl;VALL_mor_bas;VALL_mor_haut_ABCD;VALL_mor_haut_DE;VILL_bas;VILL_haut
Achillea nana;Ach_nan;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0
Achnatherum calamagrostis;Ach_cal;2018;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Agrostis rupestris;Agr_rup;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agrostis sp.;Agr_sp. ;2018;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
Ajuga reptans;Aju_sp. ;2018;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Alchemilla alpina;Alc_alp;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alcemilla sp1;Alc_sp1;2018;0;0;0;0;0;1;0;0;1;0;1;1;0;0;1;1;0;0
Alcemilla sp2;Alc_sp2;2018;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
Alnus viridis;Aln_vir;2018;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Androsace adfinis;And_adf;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Anthyllis vulneraria;Ant_vul;2018;0;1;0;0;1;1;0;0;1;0;1;1;0;0;0;0;0;0
Arabis alpina;Ara_alp;2018;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arenaria sp.;Are_sp.;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Artemisia umbelliformis;Art_umb;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Asperula cynanchica;Asp_cyn;2018;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Betula pendula;Bet_pen;2018;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Biscutella laevigata;Bis_lae;2018;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0
Botrychum lunaria;Bot_lun;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
Campanula cochlearifolia;Cam_coc;2018;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1
Campanula rotundifolia;Cam_rot;2018;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Campanula scheuchzeri;Cam_sch;2018;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Cardamine alpina;Car_alp;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Cardamine resedifolia;Car_res;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0
Carduus defloratus;Car_def;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Centaurea nervosa;Cen_ner;2018;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cerastium alpinum;Cer_alp;2018;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
Cerastium arvense;Cer_arv;2018;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;0
Clinopodium alpinum;Cli_alp;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Coincya richeri;Coi_ric;2018;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Deschampsia flexuosa;Des_fle;2018;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
Dianthus saxicola;Dia_sax;2018;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Draba siliquosa;Dra_sil;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Epilobium dodonaei;Epi_dod;2018;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0
Epilobium fleischeri;Epi_fle;2018;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Epilobium collinum;Epi_col;2018;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
Equisetum sp.;Equ_sp.;2018;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
Erigeron sp.;Eri_sp.;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
Erigeron uniflorus;Eri_uni;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
Euphorbia cyparissias;Eup_cyp;2018;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Euphrasia alpina;Eup_alp;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Euphrasia minima;Eup_min;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Euphrasia salizburgensis;Eup_sal;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Festuca sp.;Fes_sp.;2018;0;1;0;1;0;0;1;1;1;1;1;1;0;1;1;1;1;1
Festuca quadriflora;Fes_qua;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Festuca rubra gp.;Fes_rub.;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Festuca violacea;Fes_vio;2018;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Galium obliquum;Gal_obl;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Galium pumilum;Gal_pum;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Galium sp.;Gal_sp.;2018;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Globularia bisnagarica;Glo_bis;2018;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Globularia cordifolia;Glo_cor;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Helictotrichon sedenense;Hel_sed;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Helictotrichon sempervirens;Hel_sem;2018;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Helianthemum nummularium;Hel_num;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieracium morisianum;Hie_mor;2018;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieracium piliferum;Hie_pil;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Hieracium umbrosum;Hie_sp1;2018;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieracium sp.;Hie_sp2;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hippophae rhamnoides;Hip_rha;2018;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Imperatoria ostruthium;Imp_ost;2018;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0
Jacobaea incana;Jac_inc;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
Juncus trifidus;Jun_tri;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Larix decidua;Lar_dec;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Leontodon hispidus;Leo_his;2018;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Leontodon pyrenaicus;Leo_pyr;2018;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Leontodon sp.;Leo_sp.;2018;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0
Leucanthemopsis alpina;Leu_alp;2018;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1
Lotus alpinus;Lot_alp;2018;0;0;0;0;0;1;0;0;1;0;1;1;1;0;1;1;1;1
