Date;Heure, GMT+02:00;Temp., °C (LGR S/N: 20011414. SEN S/N: 20011414);Validation data
09/08/2018;01:00:00;16.999;ok
09/08/2018;03:00:00;15.569;
09/08/2018;05:00:00;14.421;
09/08/2018;07:00:00;13.558;
09/08/2018;09:00:00;14.613;
09/08/2018;11:00:00;14.421;
09/08/2018;13:00:00;14.038;
09/08/2018;15:00:00;13.942;
09/08/2018;17:00:00;12.401;
09/08/2018;19:00:00;12.11;
09/08/2018;21:00:00;11.625;
09/08/2018;23:00:00;11.139;
10/08/2018;01:00:00;11.041;
10/08/2018;03:00:00;10.553;
10/08/2018;05:00:00;9.866;
10/08/2018;07:00:00;9.077;
10/08/2018;09:00:00;8.779;
10/08/2018;11:00:00;13.365;
10/08/2018;13:00:00;21.282;
10/08/2018;15:00:00;26.781;
10/08/2018;17:00:00;29.252;
10/08/2018;19:00:00;22.333;
10/08/2018;21:00:00;18.14;
10/08/2018;23:00:00;15.282;
11/08/2018;01:00:00;13.365;
11/08/2018;03:00:00;11.722;
11/08/2018;05:00:00;10.553;
11/08/2018;07:00:00;9.571;
11/08/2018;09:00:00;9.176;
11/08/2018;11:00:00;13.75;
11/08/2018;13:00:00;22.333;
11/08/2018;15:00:00;26.488;
11/08/2018;17:00:00;31.37;
11/08/2018;19:00:00;23.677;
11/08/2018;21:00:00;19.472;
11/08/2018;23:00:00;16.618;
12/08/2018;01:00:00;14.517;
12/08/2018;03:00:00;12.883;
12/08/2018;05:00:00;11.528;
12/08/2018;07:00:00;10.259;
12/08/2018;09:00:00;9.768;
12/08/2018;11:00:00;14.613;
12/08/2018;13:00:00;23.196;
12/08/2018;15:00:00;30.154;
12/08/2018;17:00:00;33.326;
12/08/2018;19:00:00;25.319;
12/08/2018;21:00:00;21.091;
12/08/2018;23:00:00;17.95;
13/08/2018;01:00:00;15.855;
13/08/2018;03:00:00;14.23;
13/08/2018;05:00:00;13.365;
13/08/2018;07:00:00;12.594;
13/08/2018;09:00:00;12.013;
13/08/2018;11:00:00;12.787;
13/08/2018;13:00:00;15.091;
13/08/2018;15:00:00;16.523;
13/08/2018;17:00:00;17.665;
13/08/2018;19:00:00;16.332;
13/08/2018;21:00:00;13.461;
13/08/2018;23:00:00;12.497;
14/08/2018;01:00:00;11.916;
14/08/2018;03:00:00;11.139;
14/08/2018;05:00:00;10.748;
14/08/2018;07:00:00;10.651;
14/08/2018;09:00:00;11.041;
14/08/2018;11:00:00;12.787;
14/08/2018;13:00:00;19.472;
14/08/2018;15:00:00;27.272;
14/08/2018;17:00:00;25.708;
14/08/2018;19:00:00;20.424;
14/08/2018;21:00:00;17.475;
14/08/2018;23:00:00;15.664;
15/08/2018;01:00:00;14.421;
15/08/2018;03:00:00;12.883;
15/08/2018;05:00:00;11.334;
15/08/2018;07:00:00;10.259;
15/08/2018;09:00:00;9.768;
15/08/2018;11:00:00;13.942;
15/08/2018;13:00:00;22.429;
15/08/2018;15:00:00;29.452;
15/08/2018;17:00:00;30.457;
15/08/2018;19:00:00;23.196;
15/08/2018;21:00:00;19.567;
15/08/2018;23:00:00;16.999;
16/08/2018;01:00:00;14.996;
16/08/2018;03:00:00;13.461;
16/08/2018;05:00:00;12.497;
16/08/2018;07:00:00;11.528;
16/08/2018;09:00:00;11.625;
16/08/2018;11:00:00;15.855;
16/08/2018;13:00:00;24.641;
16/08/2018;15:00:00;31.064;
16/08/2018;17:00:00;26.39;
16/08/2018;19:00:00;20.519;
16/08/2018;21:00:00;17.95;
16/08/2018;23:00:00;16.237;
17/08/2018;01:00:00;14.996;
17/08/2018;03:00:00;13.942;
17/08/2018;05:00:00;13.365;
17/08/2018;07:00:00;12.304;
17/08/2018;09:00:00;11.625;
17/08/2018;11:00:00;16.237;
17/08/2018;13:00:00;22.717;
17/08/2018;15:00:00;21.282;
17/08/2018;17:00:00;22.812;
17/08/2018;19:00:00;19.567;
17/08/2018;21:00:00;17.379;
17/08/2018;23:00:00;16.046;
18/08/2018;01:00:00;14.517;
18/08/2018;03:00:00;14.134;
18/08/2018;05:00:00;13.076;
18/08/2018;07:00:00;12.401;
18/08/2018;09:00:00;12.401;
18/08/2018;11:00:00;15.569;
18/08/2018;13:00:00;17.379;
18/08/2018;15:00:00;18.901;
18/08/2018;17:00:00;24.062;
18/08/2018;19:00:00;20.138;
18/08/2018;21:00:00;17.475;
18/08/2018;23:00:00;15.378;
19/08/2018;01:00:00;13.654;
19/08/2018;03:00:00;12.304;
19/08/2018;05:00:00;11.139;
19/08/2018;07:00:00;10.161;
19/08/2018;09:00:00;9.768;
19/08/2018;11:00:00;14.134;
19/08/2018;13:00:00;22.238;
19/08/2018;15:00:00;27.961;
19/08/2018;17:00:00;29.452;
19/08/2018;19:00:00;22.908;
19/08/2018;21:00:00;19.567;
19/08/2018;23:00:00;17.57;
20/08/2018;01:00:00;16.046;
20/08/2018;03:00:00;14.804;
20/08/2018;05:00:00;13.365;
20/08/2018;07:00:00;12.304;
20/08/2018;09:00:00;11.819;
20/08/2018;11:00:00;15.569;
20/08/2018;13:00:00;20.329;
20/08/2018;15:00:00;21.187;
20/08/2018;17:00:00;19.948;
20/08/2018;19:00:00;18.806;
20/08/2018;21:00:00;17.189;
20/08/2018;23:00:00;16.046;
21/08/2018;01:00:00;14.613;
21/08/2018;03:00:00;13.173;
21/08/2018;05:00:00;12.013;
21/08/2018;07:00:00;11.041;
21/08/2018;09:00:00;10.553;
21/08/2018;11:00:00;14.613;
21/08/2018;13:00:00;19.662;
21/08/2018;15:00:00;22.142;
21/08/2018;17:00:00;20.234;
21/08/2018;19:00:00;17.76;
21/08/2018;21:00:00;15.664;
21/08/2018;23:00:00;14.517;
22/08/2018;01:00:00;13.75;
22/08/2018;03:00:00;13.173;
22/08/2018;05:00:00;12.013;
22/08/2018;07:00:00;11.041;
22/08/2018;09:00:00;11.334;
22/08/2018;11:00:00;14.517;
22/08/2018;13:00:00;18.14;
22/08/2018;15:00:00;23.581;
22/08/2018;17:00:00;23.1;
22/08/2018;19:00:00;19.853;
22/08/2018;21:00:00;16.713;
22/08/2018;23:00:00;14.517;
23/08/2018;01:00:00;12.883;
23/08/2018;03:00:00;11.625;
23/08/2018;05:00:00;10.846;
23/08/2018;07:00:00;10.259;
23/08/2018;09:00:00;10.063;
23/08/2018;11:00:00;13.076;
23/08/2018;13:00:00;18.045;
23/08/2018;15:00:00;23.388;
23/08/2018;17:00:00;20.615;
23/08/2018;19:00:00;18.331;
23/08/2018;21:00:00;16.237;
23/08/2018;23:00:00;14.517;
24/08/2018;01:00:00;13.173;
24/08/2018;03:00:00;12.497;
24/08/2018;05:00:00;12.207;
24/08/2018;07:00:00;11.431;
24/08/2018;09:00:00;12.013;
24/08/2018;11:00:00;15.569;
24/08/2018;13:00:00;22.812;
24/08/2018;15:00:00;28.258;
24/08/2018;17:00:00;23.581;
24/08/2018;19:00:00;20.519;
24/08/2018;21:00:00;17.57;
24/08/2018;23:00:00;15.76;
25/08/2018;01:00:00;14.421;
25/08/2018;03:00:00;12.98;
25/08/2018;05:00:00;12.497;
25/08/2018;07:00:00;12.11;
25/08/2018;09:00:00;11.916;
25/08/2018;11:00:00;14.9;
25/08/2018;13:00:00;18.521;
25/08/2018;15:00:00;17.76;
25/08/2018;17:00:00;16.046;
25/08/2018;19:00:00;14.134;
25/08/2018;21:00:00;12.304;
25/08/2018;23:00:00;10.553;
26/08/2018;01:00:00;9.176;
26/08/2018;03:00:00;8.182;
26/08/2018;05:00:00;7.079;
26/08/2018;07:00:00;6.064;
26/08/2018;09:00:00;5.757;
26/08/2018;11:00:00;9.373;
26/08/2018;13:00:00;18.426;
26/08/2018;15:00:00;25.416;
26/08/2018;17:00:00;28.159;
26/08/2018;19:00:00;19.662;
26/08/2018;21:00:00;15.76;
