Date;Heure, GMT+02:00;Temp., °C (LGR S/N: 20011407. SEN S/N: 20011407);Validation data
09/08/2018;01:00:00;17.189;ok
09/08/2018;03:00:00;16.427;
09/08/2018;05:00:00;15.855;
09/08/2018;07:00:00;15.378;
09/08/2018;09:00:00;15.76;
09/08/2018;11:00:00;16.237;
09/08/2018;13:00:00;16.237;
09/08/2018;15:00:00;16.141;
09/08/2018;17:00:00;15.569;
09/08/2018;19:00:00;15.282;
09/08/2018;21:00:00;14.996;
09/08/2018;23:00:00;14.804;
10/08/2018;01:00:00;14.613;
10/08/2018;03:00:00;14.23;
10/08/2018;05:00:00;13.654;
10/08/2018;07:00:00;13.269;
10/08/2018;09:00:00;13.173;
10/08/2018;11:00:00;15.378;
10/08/2018;13:00:00;18.426;
10/08/2018;15:00:00;22.717;
10/08/2018;17:00:00;20.996;
10/08/2018;19:00:00;18.711;
10/08/2018;21:00:00;17.284;
10/08/2018;23:00:00;16.046;
11/08/2018;01:00:00;15.187;
11/08/2018;03:00:00;14.421;
11/08/2018;05:00:00;13.846;
11/08/2018;07:00:00;13.461;
11/08/2018;09:00:00;13.076;
11/08/2018;11:00:00;14.804;
11/08/2018;13:00:00;17.95;
11/08/2018;15:00:00;19.948;
11/08/2018;17:00:00;19.948;
11/08/2018;19:00:00;18.14;
11/08/2018;21:00:00;17.094;
11/08/2018;23:00:00;16.046;
12/08/2018;01:00:00;15.091;
12/08/2018;03:00:00;14.421;
12/08/2018;05:00:00;13.846;
12/08/2018;07:00:00;13.269;
12/08/2018;09:00:00;12.98;
12/08/2018;11:00:00;14.804;
12/08/2018;13:00:00;18.14;
12/08/2018;15:00:00;23.677;
12/08/2018;17:00:00;22.046;
12/08/2018;19:00:00;19.758;
12/08/2018;21:00:00;18.14;
12/08/2018;23:00:00;16.903;
13/08/2018;01:00:00;16.046;
13/08/2018;03:00:00;15.473;
13/08/2018;05:00:00;15.091;
13/08/2018;07:00:00;14.709;
13/08/2018;09:00:00;14.613;
13/08/2018;11:00:00;14.9;
13/08/2018;13:00:00;16.046;
13/08/2018;15:00:00;18.14;
13/08/2018;17:00:00;18.331;
13/08/2018;19:00:00;17.094;
13/08/2018;21:00:00;15.951;
13/08/2018;23:00:00;15.378;
14/08/2018;01:00:00;14.996;
14/08/2018;03:00:00;14.517;
14/08/2018;05:00:00;14.325;
14/08/2018;07:00:00;14.134;
14/08/2018;09:00:00;14.23;
14/08/2018;11:00:00;15.282;
14/08/2018;13:00:00;16.427;
14/08/2018;15:00:00;20.901;
14/08/2018;17:00:00;18.806;
14/08/2018;19:00:00;17.665;
14/08/2018;21:00:00;16.713;
14/08/2018;23:00:00;15.855;
15/08/2018;01:00:00;15.282;
15/08/2018;03:00:00;14.421;
15/08/2018;05:00:00;13.654;
15/08/2018;07:00:00;13.076;
15/08/2018;09:00:00;12.69;
15/08/2018;11:00:00;14.23;
15/08/2018;13:00:00;17.379;
15/08/2018;15:00:00;22.333;
15/08/2018;17:00:00;20.805;
15/08/2018;19:00:00;18.711;
15/08/2018;21:00:00;17.57;
15/08/2018;23:00:00;16.523;
16/08/2018;01:00:00;15.664;
16/08/2018;03:00:00;14.996;
16/08/2018;05:00:00;14.325;
16/08/2018;07:00:00;13.846;
16/08/2018;09:00:00;13.654;
16/08/2018;11:00:00;15.378;
16/08/2018;13:00:00;18.521;
16/08/2018;15:00:00;23.581;
16/08/2018;17:00:00;22.046;
16/08/2018;19:00:00;20.424;
16/08/2018;21:00:00;18.426;
16/08/2018;23:00:00;17.379;
17/08/2018;01:00:00;16.713;
17/08/2018;03:00:00;16.237;
17/08/2018;05:00:00;15.76;
17/08/2018;07:00:00;15.187;
17/08/2018;09:00:00;14.709;
17/08/2018;11:00:00;16.141;
17/08/2018;13:00:00;18.996;
17/08/2018;15:00:00;19.567;
17/08/2018;17:00:00;19.567;
17/08/2018;19:00:00;18.616;
17/08/2018;21:00:00;17.665;
17/08/2018;23:00:00;16.618;
18/08/2018;01:00:00;16.237;
18/08/2018;03:00:00;16.046;
18/08/2018;05:00:00;15.855;
18/08/2018;07:00:00;15.569;
18/08/2018;09:00:00;15.664;
18/08/2018;11:00:00;17.094;
18/08/2018;13:00:00;17.475;
18/08/2018;15:00:00;18.045;
18/08/2018;17:00:00;18.901;
18/08/2018;19:00:00;18.331;
18/08/2018;21:00:00;17.57;
18/08/2018;23:00:00;16.713;
19/08/2018;01:00:00;15.855;
19/08/2018;03:00:00;14.996;
19/08/2018;05:00:00;14.421;
19/08/2018;07:00:00;13.846;
19/08/2018;09:00:00;13.558;
19/08/2018;11:00:00;14.996;
19/08/2018;13:00:00;18.426;
19/08/2018;15:00:00;22.717;
19/08/2018;17:00:00;21.76;
19/08/2018;19:00:00;19.758;
19/08/2018;21:00:00;18.521;
19/08/2018;23:00:00;17.665;
20/08/2018;01:00:00;16.999;
20/08/2018;03:00:00;16.427;
20/08/2018;05:00:00;15.76;
20/08/2018;07:00:00;15.187;
20/08/2018;09:00:00;14.9;
20/08/2018;11:00:00;16.332;
20/08/2018;13:00:00;17.855;
20/08/2018;15:00:00;18.901;
20/08/2018;17:00:00;18.711;
20/08/2018;19:00:00;17.855;
20/08/2018;21:00:00;17.284;
20/08/2018;23:00:00;16.903;
21/08/2018;01:00:00;16.427;
21/08/2018;03:00:00;15.855;
21/08/2018;05:00:00;15.282;
21/08/2018;07:00:00;14.613;
21/08/2018;09:00:00;14.23;
21/08/2018;11:00:00;15.76;
21/08/2018;13:00:00;18.711;
21/08/2018;15:00:00;19.662;
21/08/2018;17:00:00;18.996;
21/08/2018;19:00:00;17.665;
21/08/2018;21:00:00;16.903;
21/08/2018;23:00:00;16.237;
22/08/2018;01:00:00;15.76;
22/08/2018;03:00:00;15.473;
22/08/2018;05:00:00;14.996;
22/08/2018;07:00:00;14.421;
22/08/2018;09:00:00;14.23;
22/08/2018;11:00:00;15.664;
22/08/2018;13:00:00;16.713;
22/08/2018;15:00:00;20.329;
22/08/2018;17:00:00;20.615;
22/08/2018;19:00:00;19.187;
22/08/2018;21:00:00;17.95;
22/08/2018;23:00:00;16.808;
23/08/2018;01:00:00;15.76;
23/08/2018;03:00:00;15.091;
23/08/2018;05:00:00;14.517;
23/08/2018;07:00:00;14.038;
23/08/2018;09:00:00;13.846;
23/08/2018;11:00:00;14.804;
23/08/2018;13:00:00;18.045;
23/08/2018;15:00:00;22.717;
23/08/2018;17:00:00;21.473;
23/08/2018;19:00:00;19.567;
23/08/2018;21:00:00;18.236;
23/08/2018;23:00:00;17.094;
24/08/2018;01:00:00;16.332;
24/08/2018;03:00:00;15.951;
24/08/2018;05:00:00;15.473;
24/08/2018;07:00:00;14.9;
24/08/2018;09:00:00;14.996;
24/08/2018;11:00:00;16.523;
24/08/2018;13:00:00;18.996;
24/08/2018;15:00:00;22.717;
24/08/2018;17:00:00;20.519;
24/08/2018;19:00:00;19.282;
24/08/2018;21:00:00;17.855;
24/08/2018;23:00:00;16.618;
25/08/2018;01:00:00;15.855;
25/08/2018;03:00:00;15.282;
25/08/2018;05:00:00;15.091;
25/08/2018;07:00:00;14.804;
25/08/2018;09:00:00;14.709;
25/08/2018;11:00:00;15.282;
25/08/2018;13:00:00;15.951;
25/08/2018;15:00:00;15.951;
25/08/2018;17:00:00;15.951;
25/08/2018;19:00:00;15.664;
25/08/2018;21:00:00;14.804;
25/08/2018;23:00:00;14.038;
26/08/2018;01:00:00;13.461;
26/08/2018;03:00:00;12.883;
26/08/2018;05:00:00;11.916;
26/08/2018;07:00:00;11.334;
26/08/2018;09:00:00;11.139;
26/08/2018;11:00:00;12.497;
26/08/2018;13:00:00;15.091;
26/08/2018;15:00:00;19.187;
26/08/2018;17:00:00;18.426;
26/08/2018;19:00:00;16.237;
26/08/2018;21:00:00;14.9;
26/08/2018;23:00:00;13.75;
27/08/2018;01:00:00;12.98;
27/08/2018;03:00:00;12.304;
27/08/2018;05:00:00;11.722;
27/08/2018;07:00:00;11.236;
27/08/2018;09:00:00;10.944;
27/08/2018;11:00:00;12.497;
27/08/2018;13:00:00;15.282;
27/08/2018;15:00:00;19.853;
27/08/2018;17:00:00;19.282;
27/08/2018;19:00:00;16.999;
27/08/2018;21:00:00;15.569;
27/08/2018;23:00:00;14.517;
28/08/2018;01:00:00;13.654;
28/08/2018;03:00:00;12.98;
28/08/2018;05:00:00;12.401;
28/08/2018;07:00:00;11.916;
28/08/2018;09:00:00;11.625;
28/08/2018;11:00:00;13.269;
28/08/2018;13:00:00;16.141;
28/08/2018;15:00:00;20.901;
28/08/2018;17:00:00;20.424;
28/08/2018;19:00:00;18.236;
28/08/2018;21:00:00;16.999;
28/08/2018;23:00:00;15.855;
29/08/2018;01:00:00;15.091;
29/08/2018;03:00:00;14.517;
29/08/2018;05:00:00;13.942;
29/08/2018;07:00:00;13.461;
29/08/2018;09:00:00;13.269;
29/08/2018;11:00:00;14.421;
