Date;Heure, GMT+02:00;Temp., °C (LGR S/N: 20011419. SEN S/N: 20011419);Validation data
18/07/2018;01:00:00;13.846;ok
18/07/2018;03:00:00;12.883;
18/07/2018;05:00:00;12.11;
18/07/2018;07:00:00;11.528;
18/07/2018;09:00:00;11.916;
18/07/2018;11:00:00;16.046;
18/07/2018;13:00:00;26.879;
18/07/2018;15:00:00;34.163;
18/07/2018;17:00:00;27.764;
18/07/2018;19:00:00;22.142;
18/07/2018;21:00:00;18.14;
18/07/2018;23:00:00;15.855;
19/07/2018;01:00:00;15.378;
19/07/2018;03:00:00;14.325;
19/07/2018;05:00:00;13.173;
19/07/2018;07:00:00;12.497;
19/07/2018;09:00:00;12.69;
19/07/2018;11:00:00;17.094;
19/07/2018;13:00:00;28.655;
19/07/2018;15:00:00;30.154;
19/07/2018;17:00:00;28.06;
19/07/2018;19:00:00;23.966;
19/07/2018;21:00:00;20.615;
19/07/2018;23:00:00;18.711;
20/07/2018;01:00:00;16.523;
20/07/2018;03:00:00;15.187;
20/07/2018;05:00:00;14.134;
20/07/2018;07:00:00;13.461;
20/07/2018;09:00:00;14.804;
20/07/2018;11:00:00;18.996;
20/07/2018;13:00:00;21.951;
20/07/2018;15:00:00;24.062;
20/07/2018;17:00:00;23.966;
20/07/2018;19:00:00;20.519;
20/07/2018;21:00:00;16.903;
20/07/2018;23:00:00;15.091;
21/07/2018;01:00:00;14.421;
21/07/2018;03:00:00;14.038;
21/07/2018;05:00:00;12.69;
21/07/2018;07:00:00;12.69;
21/07/2018;09:00:00;14.038;
21/07/2018;11:00:00;17.665;
21/07/2018;13:00:00;22.046;
21/07/2018;15:00:00;21.091;
21/07/2018;17:00:00;20.329;
21/07/2018;19:00:00;18.14;
21/07/2018;21:00:00;9.275;
21/07/2018;23:00:00;10.651;
22/07/2018;01:00:00;10.748;
22/07/2018;03:00:00;10.455;
22/07/2018;05:00:00;9.965;
22/07/2018;07:00:00;9.866;
22/07/2018;09:00:00;10.357;
22/07/2018;11:00:00;13.365;
22/07/2018;13:00:00;25.222;
22/07/2018;15:00:00;25.125;
22/07/2018;17:00:00;18.521;
22/07/2018;19:00:00;14.996;
22/07/2018;21:00:00;13.654;
22/07/2018;23:00:00;13.365;
23/07/2018;01:00:00;12.401;
23/07/2018;03:00:00;11.431;
23/07/2018;05:00:00;11.334;
23/07/2018;07:00:00;10.455;
23/07/2018;09:00:00;10.553;
23/07/2018;11:00:00;13.846;
23/07/2018;13:00:00;24.062;
23/07/2018;15:00:00;30.659;
23/07/2018;17:00:00;21.951;
23/07/2018;19:00:00;18.331;
23/07/2018;21:00:00;16.808;
23/07/2018;23:00:00;15.378;
24/07/2018;01:00:00;14.038;
24/07/2018;03:00:00;13.269;
24/07/2018;05:00:00;12.787;
24/07/2018;07:00:00;12.401;
24/07/2018;09:00:00;12.594;
24/07/2018;11:00:00;16.046;
24/07/2018;13:00:00;26.683;
24/07/2018;15:00:00;26.879;
24/07/2018;17:00:00;21.378;
