Titre de tracé : 20011417;;;;;;;;
#;Date;Heure;Temp.;; °C (LGR S/N: 20011417; SEN S/N: 20011417);Pile défectueuse (LGR S/N: 20011417);Fin de fichier (LGR S/N: 20011417)
317;08/09/2018;19:00:00;20.329;;;;;
318;08/09/2018;21:00:00;19.282;;;;;
319;08/09/2018;23:00:00;18.236;;;;;
320;08/09/2018;01:00:00;17.284;;;;;
321;08/09/2018;03:00:00;17.475;;;;;
322;08/09/2018;05:00:00;19.282;;;;;
323;08/09/2018;17:00:00;18.616;;;;;
324;08/09/2018;19:00:00;17.189;;;;;
325;08/09/2018;21:00:00;16.427;;;;;
326;08/09/2018;23:00:00;15.951;;;;;
327;08/09/2018;01:00:00;15.282;;;;;
328;08/09/2018;03:00:00;14.325;;;;;
329;08/10/2018;05:00:00;13.942;;;;;
330;08/10/2018;17:00:00;13.173;;;;;
331;08/10/2018;19:00:00;12.401;;;;;
332;08/10/2018;21:00:00;11.722;;;;;
333;08/10/2018;23:00:00;11.625;;;;;
334;08/10/2018;01:00:00;16.237;;;;;
335;08/10/2018;03:00:00;22.333;;;;;
336;08/10/2018;05:00:00;26.097;;;;;
337;08/10/2018;17:00:00;26.977;;;;;
338;08/10/2018;19:00:00;23.677;;;;;
339;08/10/2018;21:00:00;19.948;;;;;
340;08/10/2018;23:00:00;17.57;;;;;
341;08/11/2018;01:00:00;16.046;;;;;
342;08/11/2018;03:00:00;14.804;;;;;
343;08/11/2018;05:00:00;13.75;;;;;
344;08/11/2018;17:00:00;12.883;;;;;
345;08/11/2018;19:00:00;12.401;;;;;
346;08/11/2018;21:00:00;17.665;;;;;
347;08/11/2018;23:00:00;23.869;;;;;
348;08/11/2018;01:00:00;26.39;;;;;
349;08/11/2018;03:00:00;28.853;;;;;
350;08/11/2018;05:00:00;26.097;;;;;
351;08/11/2018;17:00:00;22.238;;;;;
352;08/11/2018;19:00:00;19.567;;;;;
353;08/12/2018;21:00:00;17.665;;;;;
354;08/12/2018;23:00:00;16.141;;;;;
355;08/12/2018;01:00:00;14.996;;;;;
356;08/12/2018;03:00:00;14.038;;;;;
357;08/12/2018;05:00:00;13.654;;;;;
358;08/12/2018;17:00:00;17.95;;;;;
359;08/12/2018;19:00:00;24.448;;;;;
360;08/12/2018;21:00:00;29.152;;;;;
361;08/12/2018;23:00:00;30.963;;;;;
362;08/12/2018;01:00:00;27.961;;;;;
363;08/12/2018;03:00:00;24.062;;;;;
364;08/12/2018;05:00:00;21.282;;;;;
365;08/13/2018;17:00:00;19.282;;;;;
366;08/13/2018;19:00:00;17.76;;;;;
367;08/13/2018;21:00:00;16.903;;;;;
368;08/13/2018;23:00:00;16.237;;;;;
369;08/13/2018;01:00:00;15.664;;;;;
370;08/13/2018;03:00:00;15.855;;;;;
371;08/13/2018;05:00:00;17.665;;;;;
372;08/13/2018;17:00:00;21.282;;;;;
373;08/13/2018;19:00:00;21.282;;;;;
374;08/13/2018;21:00:00;19.662;;;;;
375;08/13/2018;23:00:00;16.523;;;;;
376;08/13/2018;01:00:00;15.378;;;;;
377;08/14/2018;03:00:00;14.613;;;;;
378;08/14/2018;05:00:00;14.038;;;;;
379;08/14/2018;17:00:00;13.173;;;;;
380;08/14/2018;19:00:00;12.497;;;;;
381;08/14/2018;21:00:00;12.69;;;;;
382;08/14/2018;23:00:00;16.999;;;;;
383;08/14/2018;01:00:00;21.855;;;;;
384;08/14/2018;03:00:00;24.931;;;;;
385;08/14/2018;05:00:00;20.901;;;;;
386;08/14/2018;17:00:00;19.472;;;;;
387;08/14/2018;19:00:00;16.713;;;;;
388;08/14/2018;21:00:00;15.187;;;;;
389;08/15/2018;23:00:00;14.23;;;;;
390;08/15/2018;01:00:00;13.365;;;;;
391;08/15/2018;03:00:00;12.594;;;;;
392;08/15/2018;05:00:00;11.819;;;;;
393;08/15/2018;17:00:00;11.625;;;;;
394;08/15/2018;19:00:00;16.808;;;;;
395;08/15/2018;21:00:00;23.196;;;;;
396;08/15/2018;23:00:00;27.961;;;;;
397;08/15/2018;01:00:00;29.352;;;;;
398;08/15/2018;03:00:00;25.416;;;;;
399;08/15/2018;05:00:00;21.951;;;;;
400;08/15/2018;17:00:00;19.662;;;;;
401;08/16/2018;19:00:00;18.236;;;;;
402;08/16/2018;21:00:00;17.475;;;;;
403;08/16/2018;23:00:00;16.332;;;;;
404;08/16/2018;01:00:00;15.378;;;;;
405;08/16/2018;03:00:00;14.996;;;;;
406;08/16/2018;05:00:00;18.331;;;;;
407;08/16/2018;17:00:00;24.255;;;;;
408;08/16/2018;19:00:00;28.754;;;;;
409;08/16/2018;21:00:00;25.902;;;;;
410;08/16/2018;23:00:00;23.1;;;;;
411;08/16/2018;01:00:00;21.091;;;;;
412;08/16/2018;03:00:00;19.472;;;;;
413;08/17/2018;05:00:00;18.14;;;;;
414;08/17/2018;17:00:00;17.379;;;;;
415;08/17/2018;19:00:00;16.427;;;;;
416;08/17/2018;21:00:00;15.664;;;;;
417;08/17/2018;23:00:00;16.046;;;;;
418;08/17/2018;01:00:00;17.379;;;;;
419;08/17/2018;03:00:00;20.996;;;;;
420;08/17/2018;05:00:00;24.448;;;;;
421;08/17/2018;17:00:00;24.545;;;;;
422;08/17/2018;19:00:00;20.996;;;;;
423;08/17/2018;21:00:00;17.76;;;;;
424;08/17/2018;23:00:00;16.999;;;;;
425;08/18/2018;01:00:00;16.237;;;;;
426;08/18/2018;03:00:00;15.664;;;;;
427;08/18/2018;05:00:00;14.804;;;;;
428;08/18/2018;17:00:00;13.75;;;;;
429;08/18/2018;19:00:00;13.365;;;;;
430;08/18/2018;21:00:00;17.189;;;;;
431;08/18/2018;23:00:00;17.855;;;;;
432;08/18/2018;01:00:00;19.377;;;;;
433;08/18/2018;03:00:00;22.908;;;;;
434;08/18/2018;05:00:00;21.091;;;;;
435;08/18/2018;17:00:00;18.426;;;;;
436;08/18/2018;19:00:00;16.713;;;;;
437;08/19/2018;21:00:00;15.378;;;;;
438;08/19/2018;23:00:00;14.325;;;;;
439;08/19/2018;01:00:00;13.365;;;;;
440;08/19/2018;03:00:00;12.594;;;;;
441;08/19/2018;05:00:00;12.401;;;;;
442;08/19/2018;17:00:00;17.094;;;;;
443;08/19/2018;19:00:00;22.142;;;;;
444;08/19/2018;21:00:00;25.902;;;;;
445;08/19/2018;23:00:00;28.258;;;;;
446;08/19/2018;01:00:00;23.966;;;;;
447;08/19/2018;03:00:00;20.615;;;;;
448;08/19/2018;05:00:00;19.282;;;;;
449;08/20/2018;17:00:00;18.045;;;;;
450;08/20/2018;19:00:00;17.094;;;;;
451;08/20/2018;21:00:00;15.76;;;;;
452;08/20/2018;23:00:00;14.9;;;;;
453;08/20/2018;01:00:00;14.709;;;;;
454;08/20/2018;03:00:00;18.806;;;;;
455;08/20/2018;05:00:00;24.448;;;;;
456;08/20/2018;17:00:00;23.1;;;;;
457;08/20/2018;19:00:00;20.043;;;;;
458;08/20/2018;21:00:00;20.138;;;;;
459;08/20/2018;23:00:00;18.711;;;;;
460;08/20/2018;01:00:00;17.379;;;;;
461;08/21/2018;03:00:00;16.141;;;;;
462;08/21/2018;05:00:00;14.9;;;;;
463;08/21/2018;17:00:00;13.942;;;;;
464;08/21/2018;19:00:00;13.173;;;;;
465;08/21/2018;21:00:00;13.076;;;;;
466;08/21/2018;23:00:00;17.379;;;;;
467;08/21/2018;01:00:00;21.473;;;;;
468;08/21/2018;03:00:00;20.996;;;;;
469;08/21/2018;05:00:00;20.519;;;;;
470;08/21/2018;17:00:00;20.329;;;;;
471;08/21/2018;19:00:00;18.045;;;;;
472;08/21/2018;21:00:00;17.094;;;;;
473;08/22/2018;23:00:00;15.951;;;;;
474;08/22/2018;01:00:00;15.282;;;;;
475;08/22/2018;03:00:00;14.134;;;;;
476;08/22/2018;05:00:00;13.173;;;;;
477;08/22/2018;17:00:00;13.076;;;;;
478;08/22/2018;19:00:00;16.713;;;;;
479;08/22/2018;21:00:00;20.71;;;;;
480;08/22/2018;23:00:00;20.805;;;;;
481;08/22/2018;01:00:00;22.238;;;;;
482;08/22/2018;03:00:00;20.138;;;;;
483;08/22/2018;05:00:00;17.665;;;;;
484;08/22/2018;17:00:00;16.046;;;;;
485;08/23/2018;19:00:00;14.804;;;;;
486;08/23/2018;21:00:00;13.75;;;;;
487;08/23/2018;23:00:00;12.98;;;;;
