Date;Heure, GMT+02:00;Temp., °C (LGR S/N: 20011426. SEN S/N: 20011426);Validation data
10/08/2018;01:00:00;8.779;ok
10/08/2018;03:00:00;8.581;
10/08/2018;05:00:00;8.282;
10/08/2018;07:00:00;7.983;
10/08/2018;09:00:00;7.882;
10/08/2018;11:00:00;8.182;
10/08/2018;13:00:00;9.472;
10/08/2018;15:00:00;11.916;
10/08/2018;17:00:00;15.76;
10/08/2018;19:00:00;16.999;
10/08/2018;21:00:00;14.613;
10/08/2018;23:00:00;12.883;
11/08/2018;01:00:00;11.528;
11/08/2018;03:00:00;10.553;
11/08/2018;05:00:00;9.768;
11/08/2018;07:00:00;8.978;
11/08/2018;09:00:00;8.68;
11/08/2018;11:00:00;8.879;
11/08/2018;13:00:00;10.063;
11/08/2018;15:00:00;12.401;
11/08/2018;17:00:00;16.523;
11/08/2018;19:00:00;17.189;
11/08/2018;21:00:00;15.282;
11/08/2018;23:00:00;13.558;
12/08/2018;01:00:00;12.304;
12/08/2018;03:00:00;11.236;
12/08/2018;05:00:00;10.259;
12/08/2018;07:00:00;9.472;
12/08/2018;09:00:00;9.275;
12/08/2018;11:00:00;9.669;
12/08/2018;13:00:00;11.041;
12/08/2018;15:00:00;13.365;
12/08/2018;17:00:00;16.903;
12/08/2018;19:00:00;17.855;
12/08/2018;21:00:00;15.473;
12/08/2018;23:00:00;13.942;
13/08/2018;01:00:00;12.69;
13/08/2018;03:00:00;11.625;
13/08/2018;05:00:00;10.944;
13/08/2018;07:00:00;10.357;
13/08/2018;09:00:00;9.866;
13/08/2018;11:00:00;9.768;
13/08/2018;13:00:00;10.161;
13/08/2018;15:00:00;10.846;
13/08/2018;17:00:00;11.625;
13/08/2018;19:00:00;11.722;
13/08/2018;21:00:00;10.357;
13/08/2018;23:00:00;9.768;
14/08/2018;01:00:00;9.373;
14/08/2018;03:00:00;9.077;
14/08/2018;05:00:00;8.68;
14/08/2018;07:00:00;8.282;
14/08/2018;09:00:00;8.282;
14/08/2018;11:00:00;8.481;
14/08/2018;13:00:00;9.866;
14/08/2018;15:00:00;11.722;
14/08/2018;17:00:00;14.709;
14/08/2018;19:00:00;14.325;
14/08/2018;21:00:00;12.401;
14/08/2018;23:00:00;11.139;
15/08/2018;01:00:00;10.259;
15/08/2018;03:00:00;9.275;
15/08/2018;05:00:00;8.581;
15/08/2018;07:00:00;8.082;
15/08/2018;09:00:00;7.983;
15/08/2018;11:00:00;8.282;
15/08/2018;13:00:00;9.571;
15/08/2018;15:00:00;12.401;
15/08/2018;17:00:00;17.189;
15/08/2018;19:00:00;17.284;
15/08/2018;21:00:00;15.282;
15/08/2018;23:00:00;13.75;
16/08/2018;01:00:00;12.497;
16/08/2018;03:00:00;11.625;
16/08/2018;05:00:00;10.846;
16/08/2018;07:00:00;10.063;
16/08/2018;09:00:00;9.866;
16/08/2018;11:00:00;10.161;
16/08/2018;13:00:00;11.528;
16/08/2018;15:00:00;14.038;
16/08/2018;17:00:00;14.996;
16/08/2018;19:00:00;14.517;
16/08/2018;21:00:00;13.173;
16/08/2018;23:00:00;12.304;
17/08/2018;01:00:00;11.625;
17/08/2018;03:00:00;11.041;
17/08/2018;05:00:00;10.553;
17/08/2018;07:00:00;10.063;
17/08/2018;09:00:00;9.866;
17/08/2018;11:00:00;10.455;
17/08/2018;13:00:00;11.916;
17/08/2018;15:00:00;13.076;
17/08/2018;17:00:00;14.613;
17/08/2018;19:00:00;14.421;
17/08/2018;21:00:00;12.98;
17/08/2018;23:00:00;11.819;
18/08/2018;01:00:00;10.944;
18/08/2018;03:00:00;10.357;
18/08/2018;05:00:00;9.768;
18/08/2018;07:00:00;9.176;
18/08/2018;09:00:00;8.879;
18/08/2018;11:00:00;9.176;
18/08/2018;13:00:00;9.866;
18/08/2018;15:00:00;10.455;
18/08/2018;17:00:00;13.461;
18/08/2018;19:00:00;13.461;
18/08/2018;21:00:00;12.304;
