Date;Heure, GMT+02:00;Temp., °C (LGR S/N: 11015769, SEN S/N: 11015769);Validation data
19/07/2018;01:00:00;18.236;ok
19/07/2018;03:00:00;17.189;
19/07/2018;05:00:00;16.237;
19/07/2018;07:00:00;15.378;
19/07/2018;09:00:00;15.282;
19/07/2018;11:00:00;19.187;
19/07/2018;13:00:00;24.448;
19/07/2018;15:00:00;24.158;
19/07/2018;17:00:00;23.677;
19/07/2018;19:00:00;22.142;
19/07/2018;21:00:00;20.71;
19/07/2018;23:00:00;19.567;
20/07/2018;01:00:00;18.521;
20/07/2018;03:00:00;17.665;
20/07/2018;05:00:00;16.903;
20/07/2018;07:00:00;16.237;
20/07/2018;09:00:00;16.332;
20/07/2018;11:00:00;19.758;
20/07/2018;13:00:00;21.76;
20/07/2018;15:00:00;20.901;
20/07/2018;17:00:00;21.76;
20/07/2018;19:00:00;19.758;
20/07/2018;21:00:00;17.855;
20/07/2018;23:00:00;12.304;
21/07/2018;01:00:00;14.804;
21/07/2018;03:00:00;14.613;
21/07/2018;05:00:00;13.846;
21/07/2018;07:00:00;13.846;
21/07/2018;09:00:00;13.942;
21/07/2018;11:00:00;16.523;
21/07/2018;13:00:00;18.901;
21/07/2018;15:00:00;19.948;
21/07/2018;17:00:00;19.377;
21/07/2018;19:00:00;18.14;
21/07/2018;21:00:00;16.523;
21/07/2018;23:00:00;15.187;
22/07/2018;01:00:00;14.517;
22/07/2018;03:00:00;13.654;
22/07/2018;05:00:00;12.98;
22/07/2018;07:00:00;12.497;
22/07/2018;09:00:00;12.497;
22/07/2018;11:00:00;17.094;
22/07/2018;13:00:00;19.758;
22/07/2018;15:00:00;20.234;
22/07/2018;17:00:00;20.615;
22/07/2018;19:00:00;17.094;
22/07/2018;21:00:00;15.569;
22/07/2018;23:00:00;14.613;
23/07/2018;01:00:00;14.134;
23/07/2018;03:00:00;13.269;
23/07/2018;05:00:00;12.69;
23/07/2018;07:00:00;12.11;
23/07/2018;09:00:00;12.11;
23/07/2018;11:00:00;16.427;
23/07/2018;13:00:00;20.996;
23/07/2018;15:00:00;22.908;
23/07/2018;17:00:00;23.292;
23/07/2018;19:00:00;19.853;
23/07/2018;21:00:00;17.95;
23/07/2018;23:00:00;16.999;
24/07/2018;01:00:00;15.951;
24/07/2018;03:00:00;15.187;
24/07/2018;05:00:00;14.613;
24/07/2018;07:00:00;14.038;
24/07/2018;09:00:00;14.23;
24/07/2018;11:00:00;18.711;
24/07/2018;13:00:00;22.046;
24/07/2018;15:00:00;23.869;
24/07/2018;17:00:00;24.351;
24/07/2018;19:00:00;20.71;
24/07/2018;21:00:00;18.806;
