Date;Heure, GMT+02:00;Temp., °C (LGR S/N: 20011425. SEN S/N: 20011425);Validation data
18/07/2018;01:00:00;11.625;ok
18/07/2018;03:00:00;10.748;
18/07/2018;05:00:00;10.063;
18/07/2018;07:00:00;9.373;
18/07/2018;09:00:00;13.558;
18/07/2018;11:00:00;18.426;
18/07/2018;13:00:00;20.615;
18/07/2018;15:00:00;20.71;
18/07/2018;17:00:00;19.853;
18/07/2018;19:00:00;17.95;
18/07/2018;21:00:00;16.046;
18/07/2018;23:00:00;14.613;
19/07/2018;01:00:00;13.75;
19/07/2018;03:00:00;12.787;
19/07/2018;05:00:00;11.722;
19/07/2018;07:00:00;10.944;
19/07/2018;09:00:00;15.378;
19/07/2018;11:00:00;19.662;
19/07/2018;13:00:00;22.238;
19/07/2018;15:00:00;21.473;
19/07/2018;17:00:00;19.853;
19/07/2018;19:00:00;18.806;
19/07/2018;21:00:00;16.999;
19/07/2018;23:00:00;16.046;
20/07/2018;01:00:00;14.996;
20/07/2018;03:00:00;14.134;
20/07/2018;05:00:00;13.076;
20/07/2018;07:00:00;12.207;
20/07/2018;09:00:00;15.282;
20/07/2018;11:00:00;19.092;
20/07/2018;13:00:00;18.045;
20/07/2018;15:00:00;17.379;
20/07/2018;17:00:00;16.332;
20/07/2018;19:00:00;14.804;
20/07/2018;21:00:00;9.472;
20/07/2018;23:00:00;7.782;
21/07/2018;01:00:00;10.063;
21/07/2018;03:00:00;10.161;
21/07/2018;05:00:00;9.472;
21/07/2018;07:00:00;9.669;
21/07/2018;09:00:00;10.748;
21/07/2018;11:00:00;14.421;
21/07/2018;13:00:00;16.332;
21/07/2018;15:00:00;16.237;
21/07/2018;17:00:00;15.378;
21/07/2018;19:00:00;14.709;
21/07/2018;21:00:00;12.883;
21/07/2018;23:00:00;11.722;
22/07/2018;01:00:00;11.041;
22/07/2018;03:00:00;9.965;
22/07/2018;05:00:00;9.077;
22/07/2018;07:00:00;8.581;
22/07/2018;09:00:00;12.883;
22/07/2018;11:00:00;17.284;
22/07/2018;13:00:00;19.853;
22/07/2018;15:00:00;18.711;
22/07/2018;17:00:00;16.046;
22/07/2018;19:00:00;14.038;
22/07/2018;21:00:00;12.787;
22/07/2018;23:00:00;11.625;
23/07/2018;01:00:00;10.944;
23/07/2018;03:00:00;9.965;
23/07/2018;05:00:00;9.373;
23/07/2018;07:00:00;8.581;
23/07/2018;09:00:00;12.883;
23/07/2018;11:00:00;17.094;
23/07/2018;13:00:00;19.282;
23/07/2018;15:00:00;19.472;
23/07/2018;17:00:00;17.475;
23/07/2018;19:00:00;15.855;
23/07/2018;21:00:00;14.23;
23/07/2018;23:00:00;13.461;
24/07/2018;01:00:00;12.69;
24/07/2018;03:00:00;11.819;
24/07/2018;05:00:00;11.041;
24/07/2018;07:00:00;10.553;
24/07/2018;09:00:00;14.517;
24/07/2018;11:00:00;18.901;
24/07/2018;13:00:00;20.329;
24/07/2018;15:00:00;19.187;
24/07/2018;17:00:00;17.855;
24/07/2018;19:00:00;16.237;
24/07/2018;21:00:00;14.517;
24/07/2018;23:00:00;13.75;
25/07/2018;01:00:00;13.076;
25/07/2018;03:00:00;11.916;
25/07/2018;05:00:00;11.041;
