Date;Heure, GMT+02:00;Temp., °C (LGR S/N: 20011401, SEN S/N: 20011401);Validation data
08/08/2018;01:00:00;17.475;ok
08/08/2018;03:00:00;16.523;
08/08/2018;05:00:00;15.855;
08/08/2018;07:00:00;15.091;
08/08/2018;09:00:00;14.804;
08/08/2018;11:00:00;16.332;
08/08/2018;13:00:00;19.472;
08/08/2018;15:00:00;20.519;
08/08/2018;17:00:00;20.519;
08/08/2018;19:00:00;20.996;
08/08/2018;21:00:00;19.758;
08/08/2018;23:00:00;18.426;
09/08/2018;01:00:00;17.379;
09/08/2018;03:00:00;16.332;
09/08/2018;05:00:00;15.473;
09/08/2018;07:00:00;14.709;
09/08/2018;09:00:00;14.517;
09/08/2018;11:00:00;15.282;
09/08/2018;13:00:00;15.76;
09/08/2018;15:00:00;15.282;
09/08/2018;17:00:00;14.709;
09/08/2018;19:00:00;14.421;
09/08/2018;21:00:00;13.942;
09/08/2018;23:00:00;13.365;
10/08/2018;01:00:00;13.173;
10/08/2018;03:00:00;12.883;
10/08/2018;05:00:00;12.401;
10/08/2018;07:00:00;12.207;
10/08/2018;09:00:00;12.304;
10/08/2018;11:00:00;13.076;
10/08/2018;13:00:00;16.523;
10/08/2018;15:00:00;20.615;
10/08/2018;17:00:00;22.717;
10/08/2018;19:00:00;22.238;
10/08/2018;21:00:00;19.662;
10/08/2018;23:00:00;17.665;
11/08/2018;01:00:00;16.618;
11/08/2018;03:00:00;15.951;
11/08/2018;05:00:00;14.9;
11/08/2018;07:00:00;14.134;
11/08/2018;09:00:00;13.558;
11/08/2018;11:00:00;14.9;
11/08/2018;13:00:00;18.331;
11/08/2018;15:00:00;20.805;
11/08/2018;17:00:00;22.621;
11/08/2018;19:00:00;22.142;
11/08/2018;21:00:00;20.043;
11/08/2018;23:00:00;18.236;
12/08/2018;01:00:00;16.713;
12/08/2018;03:00:00;15.76;
12/08/2018;05:00:00;14.9;
12/08/2018;07:00:00;14.134;
12/08/2018;09:00:00;13.846;
12/08/2018;11:00:00;15.378;
12/08/2018;13:00:00;18.901;
12/08/2018;15:00:00;22.525;
12/08/2018;17:00:00;24.158;
12/08/2018;19:00:00;23.292;
12/08/2018;21:00:00;21.091;
12/08/2018;23:00:00;19.187;
13/08/2018;01:00:00;17.76;
13/08/2018;03:00:00;16.713;
13/08/2018;05:00:00;15.76;
13/08/2018;07:00:00;14.996;
13/08/2018;09:00:00;14.613;
13/08/2018;11:00:00;14.804;
13/08/2018;13:00:00;15.855;
13/08/2018;15:00:00;17.665;
13/08/2018;17:00:00;19.948;
13/08/2018;19:00:00;18.806;
13/08/2018;21:00:00;16.808;
13/08/2018;23:00:00;15.473;
14/08/2018;01:00:00;14.613;
14/08/2018;03:00:00;14.325;
14/08/2018;05:00:00;13.846;
14/08/2018;07:00:00;13.461;
14/08/2018;09:00:00;13.365;
14/08/2018;11:00:00;13.558;
14/08/2018;13:00:00;13.75;
14/08/2018;15:00:00;17.189;
14/08/2018;17:00:00;18.14;
14/08/2018;19:00:00;17.95;
14/08/2018;21:00:00;16.713;
14/08/2018;23:00:00;15.76;
15/08/2018;01:00:00;15.187;
15/08/2018;03:00:00;14.709;
15/08/2018;05:00:00;13.75;
15/08/2018;07:00:00;12.883;
15/08/2018;09:00:00;12.401;
15/08/2018;11:00:00;13.654;
15/08/2018;13:00:00;16.903;
15/08/2018;15:00:00;20.138;
15/08/2018;17:00:00;22.046;
15/08/2018;19:00:00;20.805;
15/08/2018;21:00:00;19.187;
15/08/2018;23:00:00;18.045;
16/08/2018;01:00:00;17.094;
16/08/2018;03:00:00;15.951;
16/08/2018;05:00:00;14.996;
16/08/2018;07:00:00;14.134;
16/08/2018;09:00:00;13.75;
16/08/2018;11:00:00;15.282;
16/08/2018;13:00:00;17.475;
16/08/2018;15:00:00;18.426;
16/08/2018;17:00:00;18.521;
16/08/2018;19:00:00;17.855;
16/08/2018;21:00:00;16.713;
16/08/2018;23:00:00;15.951;
17/08/2018;01:00:00;15.187;
17/08/2018;03:00:00;14.804;
17/08/2018;05:00:00;14.325;
17/08/2018;07:00:00;13.942;
17/08/2018;09:00:00;13.942;
17/08/2018;11:00:00;15.282;
17/08/2018;13:00:00;17.855;
17/08/2018;15:00:00;20.996;
17/08/2018;17:00:00;18.996;
17/08/2018;19:00:00;18.806;
17/08/2018;21:00:00;17.665;
17/08/2018;23:00:00;16.713;
18/08/2018;01:00:00;15.76;
18/08/2018;03:00:00;15.282;
18/08/2018;05:00:00;14.996;
18/08/2018;07:00:00;14.421;
18/08/2018;09:00:00;13.846;
18/08/2018;11:00:00;15.091;
18/08/2018;13:00:00;18.806;
18/08/2018;15:00:00;20.138;
18/08/2018;17:00:00;20.329;
18/08/2018;19:00:00;19.377;
18/08/2018;21:00:00;18.045;
18/08/2018;23:00:00;16.713;
19/08/2018;01:00:00;15.76;
19/08/2018;03:00:00;14.804;
19/08/2018;05:00:00;14.038;
19/08/2018;07:00:00;13.365;
19/08/2018;09:00:00;13.076;
19/08/2018;11:00:00;14.517;
19/08/2018;13:00:00;18.236;
19/08/2018;15:00:00;21.378;
19/08/2018;17:00:00;23.196;
19/08/2018;19:00:00;21.951;
19/08/2018;21:00:00;20.234;
19/08/2018;23:00:00;18.996;
20/08/2018;01:00:00;18.045;
20/08/2018;03:00:00;16.999;
20/08/2018;05:00:00;16.046;
20/08/2018;07:00:00;15.187;
20/08/2018;09:00:00;14.709;
20/08/2018;11:00:00;16.046;
20/08/2018;13:00:00;18.521;
20/08/2018;15:00:00;19.187;
20/08/2018;17:00:00;18.426;
20/08/2018;19:00:00;17.76;
20/08/2018;21:00:00;16.618;
20/08/2018;23:00:00;15.76;
