Date;Heure, GMT+02:00;Temp., °C (LGR S/N: 20011412, SEN S/N: 20011412);Validation data
30/08/2018;01:00:00;9.176;ok
30/08/2018;03:00:00;8.879;
30/08/2018;05:00:00;8.581;
30/08/2018;07:00:00;7.782;
30/08/2018;09:00:00;8.282;
30/08/2018;11:00:00;14.038;
30/08/2018;13:00:00;20.329;
30/08/2018;15:00:00;24.738;
30/08/2018;17:00:00;22.333;
30/08/2018;19:00:00;16.141;
30/08/2018;21:00:00;12.98;
30/08/2018;23:00:00;11.139;
31/08/2018;01:00:00;8.779;
31/08/2018;03:00:00;8.879;
31/08/2018;05:00:00;8.779;
31/08/2018;07:00:00;8.481;
31/08/2018;09:00:00;9.472;
31/08/2018;11:00:00;12.013;
31/08/2018;13:00:00;12.883;
31/08/2018;15:00:00;8.978;
31/08/2018;17:00:00;8.382;
31/08/2018;19:00:00;7.782;
31/08/2018;21:00:00;7.481;
31/08/2018;23:00:00;6.471;
01/09/2018;01:00:00;5.552;
01/09/2018;03:00:00;5.141;
01/09/2018;05:00:00;5.244;
01/09/2018;07:00:00;5.037;
01/09/2018;09:00:00;5.347;
01/09/2018;11:00:00;7.179;
01/09/2018;13:00:00;7.179;
01/09/2018;15:00:00;9.965;
01/09/2018;17:00:00;9.571;
01/09/2018;19:00:00;8.382;
01/09/2018;21:00:00;6.674;
01/09/2018;23:00:00;6.064;
02/09/2018;01:00:00;5.962;
02/09/2018;03:00:00;4.623;
02/09/2018;05:00:00;3.578;
02/09/2018;07:00:00;2.73;
02/09/2018;09:00:00;4.623;
02/09/2018;11:00:00;16.618;
02/09/2018;13:00:00;22.046;
02/09/2018;15:00:00;24.158;
02/09/2018;17:00:00;18.236;
02/09/2018;19:00:00;13.654;
02/09/2018;21:00:00;9.866;
02/09/2018;23:00:00;7.882;
03/09/2018;01:00:00;6.064;
03/09/2018;03:00:00;4.727;
03/09/2018;05:00:00;4.727;
03/09/2018;07:00:00;5.037;
03/09/2018;09:00:00;7.481;
03/09/2018;11:00:00;10.846;
03/09/2018;13:00:00;13.076;
03/09/2018;15:00:00;17.57;
03/09/2018;17:00:00;13.076;
03/09/2018;19:00:00;10.553;
03/09/2018;21:00:00;7.28;
03/09/2018;23:00:00;5.552;
04/09/2018;01:00:00;4.727;
04/09/2018;03:00:00;3.788;
04/09/2018;05:00:00;3.367;
04/09/2018;07:00:00;2.837;
04/09/2018;09:00:00;4.934;
04/09/2018;11:00:00;15.855;
04/09/2018;13:00:00;18.996;
04/09/2018;15:00:00;18.236;
04/09/2018;17:00:00;13.269;
04/09/2018;19:00:00;11.139;
04/09/2018;21:00:00;8.978;
04/09/2018;23:00:00;7.28;
05/09/2018;01:00:00;6.166;
