Date;Heure, GMT+02:00;Temp., °C (LGR S/N: 11015767, SEN S/N: 11015767);Validation data
29/08/2018;01:00:00;10.651;ok
29/08/2018;03:00:00;9.571;
29/08/2018;05:00:00;8.779;
29/08/2018;07:00:00;8.481;
29/08/2018;09:00:00;9.965;
29/08/2018;11:00:00;16.523;
29/08/2018;13:00:00;17.379;
29/08/2018;15:00:00;13.173;
29/08/2018;17:00:00;12.497;
29/08/2018;19:00:00;11.041;
29/08/2018;21:00:00;8.68;
29/08/2018;23:00:00;8.978;
30/08/2018;01:00:00;8.779;
30/08/2018;03:00:00;8.68;
30/08/2018;05:00:00;7.782;
30/08/2018;07:00:00;7.28;
30/08/2018;09:00:00;7.381;
30/08/2018;11:00:00;12.401;
30/08/2018;13:00:00;19.282;
30/08/2018;15:00:00;22.717;
30/08/2018;17:00:00;22.046;
30/08/2018;19:00:00;17.76;
30/08/2018;21:00:00;14.613;
30/08/2018;23:00:00;12.11;
31/08/2018;01:00:00;10.259;
31/08/2018;03:00:00;9.176;
31/08/2018;05:00:00;8.581;
31/08/2018;07:00:00;8.282;
31/08/2018;09:00:00;8.779;
31/08/2018;11:00:00;11.819;
31/08/2018;13:00:00;13.942;
31/08/2018;15:00:00;9.768;
31/08/2018;17:00:00;7.782;
31/08/2018;19:00:00;7.079;
31/08/2018;21:00:00;6.573;
31/08/2018;23:00:00;5.655;
01/09/2018;01:00:00;4.207;
01/09/2018;03:00:00;4.207;
01/09/2018;05:00:00;4.519;
01/09/2018;07:00:00;4.519;
01/09/2018;09:00:00;4.727;
01/09/2018;11:00:00;7.079;
01/09/2018;13:00:00;8.082;
01/09/2018;15:00:00;11.139;
01/09/2018;17:00:00;10.846;
01/09/2018;19:00:00;9.571;
01/09/2018;21:00:00;7.682;
01/09/2018;23:00:00;6.775;
02/09/2018;01:00:00;6.166;
02/09/2018;03:00:00;5.141;
02/09/2018;05:00:00;4.102;
02/09/2018;07:00:00;3.367;
02/09/2018;09:00:00;5.037;
02/09/2018;11:00:00;12.304;
02/09/2018;13:00:00;18.236;
02/09/2018;15:00:00;18.996;
02/09/2018;17:00:00;13.461;
02/09/2018;19:00:00;11.722;
02/09/2018;21:00:00;9.669;
02/09/2018;23:00:00;8.382;
03/09/2018;01:00:00;6.978;
03/09/2018;03:00:00;5.86;
03/09/2018;05:00:00;5.45;
03/09/2018;07:00:00;5.45;
