Titre de tracé : 20011431;;;;;
#;Date;Heure; GMT+02:00;Moy. : Température; °C (LGR S/N: 20011431)
9;07/10/2020;00:00:00;18.711;;
10;07/10/2020;02:00:00;16.999;;
11;07/10/2020;04:00:00;15.664;;
12;07/10/2020;06:00:00;14.517;;
13;07/10/2020;08:00:00;13.846;;
14;07/10/2020;10:00:00;15.760;;
15;07/10/2020;12:00:00;21.187;;
16;07/10/2020;14:00:00;23.581;;
17;07/10/2020;16:00:00;24.545;;
18;07/10/2020;18:00:00;23.388;;
19;07/10/2020;20:00:00;21.760;;
20;07/10/2020;22:00:00;19.377;;
21;07/11/2020;00:00:00;16.999;;
22;07/11/2020;02:00:00;15.378;;
23;07/11/2020;04:00:00;14.230;;
24;07/11/2020;06:00:00;13.846;;
25;07/11/2020;08:00:00;13.654;;
26;07/11/2020;10:00:00;14.038;;
27;07/11/2020;12:00:00;17.094;;
28;07/11/2020;14:00:00;19.948;;
29;07/11/2020;16:00:00;22.046;;
30;07/11/2020;18:00:00;20.805;;
31;07/11/2020;20:00:00;18.616;;
32;07/11/2020;22:00:00;16.713;;
33;07/12/2020;00:00:00;15.091;;
34;07/12/2020;02:00:00;13.654;;
35;07/12/2020;04:00:00;12.497;;
36;07/12/2020;06:00:00;11.625;;
37;07/12/2020;08:00:00;10.846;;
38;07/12/2020;10:00:00;12.497;;
39;07/12/2020;12:00:00;17.950;;
40;07/12/2020;14:00:00;22.429;;
41;07/12/2020;16:00:00;24.545;;
42;07/12/2020;18:00:00;22.525;;
43;07/12/2020;20:00:00;20.615;;
44;07/12/2020;22:00:00;18.616;;
45;07/13/2020;00:00:00;17.094;;
46;07/13/2020;02:00:00;15.569;;
47;07/13/2020;04:00:00;14.325;;
48;07/13/2020;06:00:00;13.750;;
49;07/13/2020;08:00:00;12.980;;
50;07/13/2020;10:00:00;14.230;;
51;07/13/2020;12:00:00;17.665;;
52;07/13/2020;14:00:00;20.710;;
53;07/13/2020;16:00:00;20.043;;
54;07/13/2020;18:00:00;19.187;;
55;07/13/2020;20:00:00;17.855;;
56;07/13/2020;22:00:00;16.523;;
57;07/14/2020;00:00:00;15.091;;
58;07/14/2020;02:00:00;13.558;;
59;07/14/2020;04:00:00;12.304;;
60;07/14/2020;06:00:00;11.334;;
61;07/14/2020;08:00:00;10.553;;
62;07/14/2020;10:00:00;12.110;;
63;07/14/2020;12:00:00;17.284;;
64;07/14/2020;14:00:00;21.187;;
65;07/14/2020;16:00:00;20.901;;
66;07/14/2020;18:00:00;19.282;;
67;07/14/2020;20:00:00;17.570;;
68;07/14/2020;22:00:00;16.332;;
69;07/15/2020;00:00:00;15.187;;
70;07/15/2020;02:00:00;14.038;;
71;07/15/2020;04:00:00;13.076;;
72;07/15/2020;06:00:00;12.110;;
73;07/15/2020;08:00:00;11.528;;
74;07/15/2020;10:00:00;13.076;;
75;07/15/2020;12:00:00;16.903;;
76;07/15/2020;14:00:00;16.999;;
77;07/15/2020;16:00:00;16.523;;
78;07/15/2020;18:00:00;16.046;;
79;07/15/2020;20:00:00;15.282;;
80;07/15/2020;22:00:00;14.421;;
81;07/16/2020;00:00:00;13.654;;
82;07/16/2020;02:00:00;13.076;;
83;07/16/2020;04:00:00;12.304;;
84;07/16/2020;06:00:00;11.916;;
85;07/16/2020;08:00:00;11.431;;
86;07/16/2020;10:00:00;12.690;;
87;07/16/2020;12:00:00;17.665;;
88;07/16/2020;14:00:00;23.388;;
89;07/16/2020;16:00:00;24.448;;
90;07/16/2020;18:00:00;21.664;;
91;07/16/2020;20:00:00;19.472;;
92;07/16/2020;22:00:00;17.760;;
93;07/17/2020;00:00:00;16.427;;
94;07/17/2020;02:00:00;15.282;;
95;07/17/2020;04:00:00;13.846;;
96;07/17/2020;06:00:00;12.594;;
97;07/17/2020;08:00:00;11.722;;
98;07/17/2020;10:00:00;13.173;;
99;07/17/2020;12:00:00;18.236;;
100;07/17/2020;14:00:00;24.062;;
101;07/17/2020;16:00:00;25.513;;
102;07/17/2020;18:00:00;22.621;;
103;07/17/2020;20:00:00;20.615;;
104;07/17/2020;22:00:00;18.616;;
105;07/18/2020;00:00:00;17.284;;
106;07/18/2020;02:00:00;16.332;;
107;07/18/2020;04:00:00;15.473;;
108;07/18/2020;06:00:00;14.804;;
109;07/18/2020;08:00:00;14.134;;
110;07/18/2020;10:00:00;15.378;;
111;07/18/2020;12:00:00;20.138;;
112;07/18/2020;14:00:00;25.902;;
113;07/18/2020;16:00:00;26.879;;
114;07/18/2020;18:00:00;23.484;;
115;07/18/2020;20:00:00;21.282;;
116;07/18/2020;22:00:00;19.282;;
117;07/19/2020;00:00:00;17.189;;
118;07/19/2020;02:00:00;15.569;;
119;07/19/2020;04:00:00;14.230;;
120;07/19/2020;06:00:00;13.173;;
121;07/19/2020;08:00:00;12.304;;
122;07/19/2020;10:00:00;13.846;;
123;07/19/2020;12:00:00;19.472;;
124;07/19/2020;14:00:00;25.708;;
125;07/19/2020;16:00:00;26.781;;
126;07/19/2020;18:00:00;23.196;;
127;07/19/2020;20:00:00;21.569;;
128;07/19/2020;22:00:00;19.377;;
129;07/20/2020;00:00:00;17.284;;
130;07/20/2020;02:00:00;15.664;;
131;07/20/2020;04:00:00;14.325;;
132;07/20/2020;06:00:00;13.173;;
133;07/20/2020;08:00:00;12.207;;
134;07/20/2020;10:00:00;13.846;;
135;07/20/2020;12:00:00;19.758;;
136;07/20/2020;14:00:00;26.390;;
137;07/20/2020;16:00:00;27.961;;
138;07/20/2020;18:00:00;25.416;;
139;07/20/2020;20:00:00;22.429;;
140;07/20/2020;22:00:00;20.234;;
141;07/21/2020;00:00:00;18.140;;
142;07/21/2020;02:00:00;16.523;;
143;07/21/2020;04:00:00;15.187;;
144;07/21/2020;06:00:00;14.230;;
145;07/21/2020;08:00:00;14.038;;
