Titre de tracé : 20011420;;;;;
#;Date;Heure; GMT+02:00;Moy. : Température; °C (LGR S/N: 20011420)
9;07/10/2020;00:00:00;21.569;;
10;07/10/2020;02:00:00;20.615;;
11;07/10/2020;04:00:00;19.948;;
12;07/10/2020;06:00:00;19.377;;
13;07/10/2020;08:00:00;18.996;;
14;07/10/2020;10:00:00;19.567;;
15;07/10/2020;12:00:00;23.100;;
16;07/10/2020;14:00:00;25.028;;
17;07/10/2020;16:00:00;26.292;;
18;07/10/2020;18:00:00;26.097;;
19;07/10/2020;20:00:00;24.931;;
20;07/10/2020;22:00:00;22.621;;
21;07/11/2020;00:00:00;21.187;;
22;07/11/2020;02:00:00;20.519;;
23;07/11/2020;04:00:00;20.043;;
24;07/11/2020;06:00:00;19.662;;
25;07/11/2020;08:00:00;19.472;;
26;07/11/2020;10:00:00;19.758;;
27;07/11/2020;12:00:00;20.519;;
28;07/11/2020;14:00:00;21.187;;
29;07/11/2020;16:00:00;22.525;;
30;07/11/2020;18:00:00;22.238;;
31;07/11/2020;20:00:00;20.901;;
32;07/11/2020;22:00:00;19.853;;
33;07/12/2020;00:00:00;18.996;;
34;07/12/2020;02:00:00;18.236;;
35;07/12/2020;04:00:00;17.570;;
36;07/12/2020;06:00:00;16.999;;
37;07/12/2020;08:00:00;16.618;;
38;07/12/2020;10:00:00;16.999;;
39;07/12/2020;12:00:00;20.710;;
40;07/12/2020;14:00:00;21.855;;
41;07/12/2020;16:00:00;23.100;;
42;07/12/2020;18:00:00;22.621;;
43;07/12/2020;20:00:00;21.569;;
44;07/12/2020;22:00:00;20.519;;
45;07/13/2020;00:00:00;19.567;;
46;07/13/2020;02:00:00;18.996;;
47;07/13/2020;04:00:00;18.426;;
48;07/13/2020;06:00:00;17.855;;
49;07/13/2020;08:00:00;17.475;;
50;07/13/2020;10:00:00;18.140;;
51;07/13/2020;12:00:00;21.187;;
52;07/13/2020;14:00:00;21.664;;
53;07/13/2020;16:00:00;22.046;;
54;07/13/2020;18:00:00;21.378;;
55;07/13/2020;20:00:00;20.805;;
56;07/13/2020;22:00:00;19.853;;
57;07/14/2020;00:00:00;18.711;;
58;07/14/2020;02:00:00;17.855;;
59;07/14/2020;04:00:00;17.189;;
60;07/14/2020;06:00:00;16.618;;
61;07/14/2020;08:00:00;16.237;;
62;07/14/2020;10:00:00;16.618;;
63;07/14/2020;12:00:00;19.662;;
64;07/14/2020;14:00:00;21.091;;
65;07/14/2020;16:00:00;21.473;;
66;07/14/2020;18:00:00;21.282;;
67;07/14/2020;20:00:00;20.710;;
68;07/14/2020;22:00:00;19.948;;
69;07/15/2020;00:00:00;18.901;;
70;07/15/2020;02:00:00;18.331;;
71;07/15/2020;04:00:00;17.760;;
72;07/15/2020;06:00:00;17.094;;
73;07/15/2020;08:00:00;16.903;;
74;07/15/2020;10:00:00;17.379;;
75;07/15/2020;12:00:00;20.234;;
76;07/15/2020;14:00:00;20.329;;
77;07/15/2020;16:00:00;20.424;;
78;07/15/2020;18:00:00;20.519;;
79;07/15/2020;20:00:00;20.234;;
80;07/15/2020;22:00:00;19.567;;
81;07/16/2020;00:00:00;18.996;;
82;07/16/2020;02:00:00;18.426;;
83;07/16/2020;04:00:00;17.950;;
84;07/16/2020;06:00:00;17.665;;
85;07/16/2020;08:00:00;17.665;;
86;07/16/2020;10:00:00;18.045;;
87;07/16/2020;12:00:00;20.710;;
88;07/16/2020;14:00:00;21.664;;
89;07/16/2020;16:00:00;23.100;;
90;07/16/2020;18:00:00;22.525;;
91;07/16/2020;20:00:00;21.473;;
92;07/16/2020;22:00:00;20.710;;
93;07/17/2020;00:00:00;19.662;;
94;07/17/2020;02:00:00;18.806;;
95;07/17/2020;04:00:00;18.140;;
96;07/17/2020;06:00:00;17.950;;
97;07/17/2020;08:00:00;17.950;;
98;07/17/2020;10:00:00;18.426;;
99;07/17/2020;12:00:00;21.091;;
100;07/17/2020;14:00:00;22.238;;
101;07/17/2020;16:00:00;24.158;;
102;07/17/2020;18:00:00;23.388;;
103;07/17/2020;20:00:00;22.046;;
104;07/17/2020;22:00:00;21.091;;
105;07/18/2020;00:00:00;20.424;;
106;07/18/2020;02:00:00;19.948;;
107;07/18/2020;04:00:00;19.567;;
108;07/18/2020;06:00:00;19.377;;
109;07/18/2020;08:00:00;19.187;;
110;07/18/2020;10:00:00;19.662;;
111;07/18/2020;12:00:00;22.142;;
112;07/18/2020;14:00:00;23.196;;
113;07/18/2020;16:00:00;24.835;;
114;07/18/2020;18:00:00;24.062;;
115;07/18/2020;20:00:00;23.004;;
116;07/18/2020;22:00:00;21.760;;
117;07/19/2020;00:00:00;20.710;;
118;07/19/2020;02:00:00;19.948;;
119;07/19/2020;04:00:00;19.187;;
120;07/19/2020;06:00:00;18.616;;
121;07/19/2020;08:00:00;18.140;;
122;07/19/2020;10:00:00;18.331;;
123;07/19/2020;12:00:00;22.142;;
124;07/19/2020;14:00:00;23.773;;
125;07/19/2020;16:00:00;24.835;;
126;07/19/2020;18:00:00;24.738;;
127;07/19/2020;20:00:00;23.581;;
128;07/19/2020;22:00:00;22.238;;
129;07/20/2020;00:00:00;21.091;;
130;07/20/2020;02:00:00;20.234;;
131;07/20/2020;04:00:00;19.472;;
132;07/20/2020;06:00:00;18.806;;
133;07/20/2020;08:00:00;18.331;;
134;07/20/2020;10:00:00;18.426;;
135;07/20/2020;12:00:00;22.812;;
136;07/20/2020;14:00:00;24.545;;
137;07/20/2020;16:00:00;27.075;;
138;07/20/2020;18:00:00;26.585;;
139;07/20/2020;20:00:00;25.028;;
140;07/20/2020;22:00:00;23.196;;
141;07/21/2020;00:00:00;22.046;;
142;07/21/2020;02:00:00;21.091;;
143;07/21/2020;04:00:00;20.329;;
144;07/21/2020;06:00:00;19.853;;
145;07/21/2020;08:00:00;19.567;;
146;07/21/2020;10:00:00;19.948;;
147;07/21/2020;12:00:00;23.388;;
148;07/21/2020;14:00:00;24.931;;
149;07/21/2020;16:00:00;26.292;;
150;07/21/2020;18:00:00;26.097;;
151;07/21/2020;20:00:00;24.931;;
152;07/21/2020;22:00:00;23.484;;
153;07/22/2020;00:00:00;21.664;;
154;07/22/2020;02:00:00;20.710;;
155;07/22/2020;04:00:00;19.758;;
156;07/22/2020;06:00:00;18.996;;
157;07/22/2020;08:00:00;18.616;;
158;07/22/2020;10:00:00;19.472;;
159;07/22/2020;12:00:00;22.908;;
160;07/22/2020;14:00:00;23.966;;
161;07/22/2020;16:00:00;23.773;;
162;07/22/2020;18:00:00;22.812;;
163;07/22/2020;20:00:00;20.710;;
164;07/22/2020;22:00:00;20.424;;
165;07/23/2020;00:00:00;19.948;;
166;07/23/2020;02:00:00;19.377;;
167;07/23/2020;04:00:00;19.092;;
168;07/23/2020;06:00:00;18.521;;
169;07/23/2020;08:00:00;17.950;;
170;07/23/2020;10:00:00;17.950;;
171;07/23/2020;12:00:00;21.855;;
172;07/23/2020;14:00:00;23.100;;
173;07/23/2020;16:00:00;23.581;;
174;07/23/2020;18:00:00;23.196;;
175;07/23/2020;20:00:00;22.333;;
176;07/23/2020;22:00:00;21.187;;
177;07/24/2020;00:00:00;20.234;;
178;07/24/2020;02:00:00;19.377;;
179;07/24/2020;04:00:00;18.616;;
180;07/24/2020;06:00:00;18.140;;
181;07/24/2020;08:00:00;18.045;;
182;07/24/2020;10:00:00;18.521;;
183;07/24/2020;12:00:00;21.569;;
184;07/24/2020;14:00:00;21.760;;
185;07/24/2020;16:00:00;22.717;;
186;07/24/2020;18:00:00;21.760;;
187;07/24/2020;20:00:00;21.091;;
188;07/24/2020;22:00:00;20.138;;
189;07/25/2020;00:00:00;19.092;;
190;07/25/2020;02:00:00;18.331;;
191;07/25/2020;04:00:00;17.760;;
192;07/25/2020;06:00:00;17.094;;
193;07/25/2020;08:00:00;16.713;;
194;07/25/2020;10:00:00;16.903;;
195;07/25/2020;12:00:00;20.901;;
196;07/25/2020;14:00:00;21.855;;
197;07/25/2020;16:00:00;23.677;;
198;07/25/2020;18:00:00;23.292;;
199;07/25/2020;20:00:00;22.046;;
200;07/25/2020;22:00:00;20.901;;
201;07/26/2020;00:00:00;19.948;;
202;07/26/2020;02:00:00;19.282;;
203;07/26/2020;04:00:00;18.711;;
204;07/26/2020;06:00:00;18.236;;
205;07/26/2020;08:00:00;18.045;;
206;07/26/2020;10:00:00;18.711;;
207;07/26/2020;12:00:00;21.187;;
208;07/26/2020;14:00:00;22.908;;
209;07/26/2020;16:00:00;23.966;;
210;07/26/2020;18:00:00;23.484;;
211;07/26/2020;20:00:00;22.621;;
212;07/26/2020;22:00:00;21.378;;
213;07/27/2020;00:00:00;20.329;;
214;07/27/2020;02:00:00;19.567;;
215;07/27/2020;04:00:00;18.901;;
216;07/27/2020;06:00:00;18.331;;
217;07/27/2020;08:00:00;17.950;;
218;07/27/2020;10:00:00;17.855;;
219;07/27/2020;12:00:00;22.717;;
220;07/27/2020;14:00:00;24.158;;
221;07/27/2020;16:00:00;26.977;;
222;07/27/2020;18:00:00;26.097;;
223;07/27/2020;20:00:00;24.158;;
224;07/27/2020;22:00:00;22.812;;
225;07/28/2020;00:00:00;21.855;;
226;07/28/2020;02:00:00;21.187;;
227;07/28/2020;04:00:00;20.519;;
228;07/28/2020;06:00:00;20.043;;
229;07/28/2020;08:00:00;19.567;;
230;07/28/2020;10:00:00;19.948;;
231;07/28/2020;12:00:00;23.773;;
232;07/28/2020;14:00:00;25.805;;
233;07/28/2020;16:00:00;27.961;;
234;07/28/2020;18:00:00;27.173;;
235;07/28/2020;20:00:00;24.931;;
236;07/28/2020;22:00:00;23.677;;
237;07/29/2020;00:00:00;22.717;;
238;07/29/2020;02:00:00;21.855;;
239;07/29/2020;04:00:00;21.091;;
