Titre de tracé : 20011430;;;;;
#;Date;Heure; GMT+02:00;Moy. : Température; °C (LGR S/N: 20011430)
9;07/10/2020;00:00:00;15.951;;
10;07/10/2020;02:00:00;14.709;;
11;07/10/2020;04:00:00;13.750;;
12;07/10/2020;06:00:00;12.690;;
13;07/10/2020;08:00:00;12.883;;
14;07/10/2020;10:00:00;14.900;;
15;07/10/2020;12:00:00;28.853;;
16;07/10/2020;14:00:00;30.457;;
17;07/10/2020;16:00:00;28.853;;
18;07/10/2020;18:00:00;26.390;;
19;07/10/2020;20:00:00;22.525;;
20;07/10/2020;22:00:00;18.521;;
21;07/11/2020;00:00:00;16.713;;
22;07/11/2020;02:00:00;15.664;;
23;07/11/2020;04:00:00;15.187;;
24;07/11/2020;06:00:00;15.091;;
25;07/11/2020;08:00:00;15.091;;
26;07/11/2020;10:00:00;16.141;;
27;07/11/2020;12:00:00;19.377;;
28;07/11/2020;14:00:00;23.100;;
29;07/11/2020;16:00:00;22.429;;
30;07/11/2020;18:00:00;22.717;;
31;07/11/2020;20:00:00;18.140;;
32;07/11/2020;22:00:00;16.046;;
33;07/12/2020;00:00:00;14.325;;
34;07/12/2020;02:00:00;13.173;;
35;07/12/2020;04:00:00;12.110;;
36;07/12/2020;06:00:00;11.334;;
37;07/12/2020;08:00:00;11.041;;
38;07/12/2020;10:00:00;12.110;;
39;07/12/2020;12:00:00;23.966;;
40;07/12/2020;14:00:00;29.853;;
41;07/12/2020;16:00:00;26.097;;
42;07/12/2020;18:00:00;25.319;;
43;07/12/2020;20:00:00;20.234;;
44;07/12/2020;22:00:00;18.236;;
45;07/13/2020;00:00:00;16.237;;
46;07/13/2020;02:00:00;14.900;;
47;07/13/2020;04:00:00;13.846;;
48;07/13/2020;06:00:00;12.980;;
49;07/13/2020;08:00:00;12.690;;
50;07/13/2020;10:00:00;15.091;;
51;07/13/2020;12:00:00;25.708;;
52;07/13/2020;14:00:00;29.752;;
53;07/13/2020;16:00:00;26.585;;
