Titre de tracé : 11015768;;;
#;Date Heure, GMT+02:00;Moy. : Température, °C (LGR S/N: 11015768);
9;07/10/2020;00:00:00;17.665
10;07/10/2020;02:00:00;16.713
11;07/10/2020;04:00:00;15.855
12;07/10/2020;06:00:00;15.091
13;07/10/2020;08:00:00;14.517
14;07/10/2020;10:00:00;16.237
15;07/10/2020;12:00:00;19.092
16;07/10/2020;14:00:00;21.473
17;07/10/2020;16:00:00;23.196
18;07/10/2020;18:00:00;22.525
19;07/10/2020;20:00:00;21.091
20;07/10/2020;22:00:00;19.282
21;07/11/2020;00:00:00;16.808
22;07/11/2020;02:00:00;16.046
23;07/11/2020;04:00:00;15.282
24;07/11/2020;06:00:00;14.709
25;07/11/2020;08:00:00;14.613
26;07/11/2020;10:00:00;14.900
27;07/11/2020;12:00:00;16.713
28;07/11/2020;14:00:00;18.426
29;07/11/2020;16:00:00;19.853
30;07/11/2020;18:00:00;20.043
31;07/11/2020;20:00:00;17.760
32;07/11/2020;22:00:00;16.427
33;07/12/2020;00:00:00;15.091
34;07/12/2020;02:00:00;14.134
35;07/12/2020;04:00:00;13.269
36;07/12/2020;06:00:00;12.497
37;07/12/2020;08:00:00;12.013
38;07/12/2020;10:00:00;13.269
39;07/12/2020;12:00:00;16.427
40;07/12/2020;14:00:00;19.853
41;07/12/2020;16:00:00;20.615
42;07/12/2020;18:00:00;21.091
43;07/12/2020;20:00:00;19.187
44;07/12/2020;22:00:00;17.760
45;07/13/2020;00:00:00;16.713
46;07/13/2020;02:00:00;15.760
47;07/13/2020;04:00:00;14.900
48;07/13/2020;06:00:00;14.230
49;07/13/2020;08:00:00;13.654
50;07/13/2020;10:00:00;15.091
51;07/13/2020;12:00:00;18.331
52;07/13/2020;14:00:00;20.234
53;07/13/2020;16:00:00;21.569
54;07/13/2020;18:00:00;21.855
55;07/13/2020;20:00:00;19.567
56;07/13/2020;22:00:00;18.236
57;07/14/2020;00:00:00;16.618
58;07/14/2020;02:00:00;15.473
59;07/14/2020;04:00:00;14.517
60;07/14/2020;06:00:00;13.750
61;07/14/2020;08:00:00;12.980
62;07/14/2020;10:00:00;14.421
63;07/14/2020;12:00:00;17.570
64;07/14/2020;14:00:00;19.948
65;07/14/2020;16:00:00;20.805
66;07/14/2020;18:00:00;21.378
67;07/14/2020;20:00:00;19.282
68;07/14/2020;22:00:00;18.045
69;07/15/2020;00:00:00;16.523
70;07/15/2020;02:00:00;15.760
71;07/15/2020;04:00:00;14.996
72;07/15/2020;06:00:00;14.230
73;07/15/2020;08:00:00;13.750
74;07/15/2020;10:00:00;14.613
75;07/15/2020;12:00:00;17.855
76;07/15/2020;14:00:00;18.140
77;07/15/2020;16:00:00;18.426
78;07/15/2020;18:00:00;18.140
79;07/15/2020;20:00:00;17.570
80;07/15/2020;22:00:00;16.523
81;07/16/2020;00:00:00;15.760
82;07/16/2020;02:00:00;14.804
83;07/16/2020;04:00:00;14.134
84;07/16/2020;06:00:00;13.846
85;07/16/2020;08:00:00;13.654
86;07/16/2020;10:00:00;14.804
87;07/16/2020;12:00:00;17.760
88;07/16/2020;14:00:00;21.187
89;07/16/2020;16:00:00;21.760
90;07/16/2020;18:00:00;21.569
91;07/16/2020;20:00:00;19.567
92;07/16/2020;22:00:00;17.950
93;07/17/2020;00:00:00;16.903
94;07/17/2020;02:00:00;15.664
95;07/17/2020;04:00:00;14.517
96;07/17/2020;06:00:00;14.325
97;07/17/2020;08:00:00;13.942
98;07/17/2020;10:00:00;14.325
99;07/17/2020;12:00:00;17.379
100;07/17/2020;14:00:00;21.378
101;07/17/2020;16:00:00;22.525
102;07/17/2020;18:00:00;22.525
103;07/17/2020;20:00:00;19.662
104;07/17/2020;22:00:00;18.331
105;07/18/2020;00:00:00;17.189
106;07/18/2020;02:00:00;16.427
107;07/18/2020;04:00:00;15.760
108;07/18/2020;06:00:00;15.187
109;07/18/2020;08:00:00;14.900
110;07/18/2020;10:00:00;15.951
111;07/18/2020;12:00:00;19.092
112;07/18/2020;14:00:00;22.621
113;07/18/2020;16:00:00;23.100
114;07/18/2020;18:00:00;21.760
115;07/18/2020;20:00:00;20.138
116;07/18/2020;22:00:00;18.616
117;07/19/2020;00:00:00;17.284
118;07/19/2020;02:00:00;16.141
119;07/19/2020;04:00:00;15.091
120;07/19/2020;06:00:00;14.325
121;07/19/2020;08:00:00;13.846
122;07/19/2020;10:00:00;15.282
123;07/19/2020;12:00:00;19.092
124;07/19/2020;14:00:00;23.196
125;07/19/2020;16:00:00;24.448
126;07/19/2020;18:00:00;24.738
127;07/19/2020;20:00:00;21.569
128;07/19/2020;22:00:00;19.662
129;07/20/2020;00:00:00;18.236
130;07/20/2020;02:00:00;16.999
131;07/20/2020;04:00:00;15.951
132;07/20/2020;06:00:00;14.996
133;07/20/2020;08:00:00;14.230
134;07/20/2020;10:00:00;15.855
135;07/20/2020;12:00:00;19.948
136;07/20/2020;14:00:00;24.255
137;07/20/2020;16:00:00;25.610
138;07/20/2020;18:00:00;25.416
139;07/20/2020;20:00:00;22.238
140;07/20/2020;22:00:00;20.329
