Titre de tracé : 20011403;;;;;;;;
#;Date;Heure;Moy. : Température, °C (LGR S/N: 20011403);Pile défectueuse (LGR S/N: 20011403);Coupleur attaché (LGR S/N: 20011403);Hôte connecté (LGR S/N: 20011403);Arrêté (LGR S/N: 20011403);Fin de fichier (LGR S/N: 20011403)
8;07/15/2020;22:00:00;14.230;;;;;
9;07/16/2020;00:00:00;13.846;;;;;
10;07/16/2020;02:00:00;12.690;;;;;
11;07/16/2020;04:00:00;10.846;;;;;
12;07/16/2020;06:00:00;9.669;;;;;
13;07/16/2020;08:00:00;9.176;;;;;
14;07/16/2020;10:00:00;10.357;;;;;
15;07/16/2020;12:00:00;15.569;;;;;
16;07/16/2020;14:00:00;23.581;;;;;
17;07/16/2020;16:00:00;26.000;;;;;
18;07/16/2020;18:00:00;21.855;;;;;
19;07/16/2020;20:00:00;18.045;;;;;
20;07/16/2020;22:00:00;15.855;;;;;
21;07/17/2020;00:00:00;14.421;;;;;
22;07/17/2020;02:00:00;13.076;;;;;
23;07/17/2020;04:00:00;11.722;;;;;
24;07/17/2020;06:00:00;10.553;;;;;
25;07/17/2020;08:00:00;10.063;;;;;
26;07/17/2020;10:00:00;11.625;;;;;
27;07/17/2020;12:00:00;16.523;;;;;
28;07/17/2020;14:00:00;24.931;;;;;
29;07/17/2020;16:00:00;27.862;;;;;
30;07/17/2020;18:00:00;22.717;;;;;
31;07/17/2020;20:00:00;19.282;;;;;
32;07/17/2020;22:00:00;17.665;;;;;
33;07/18/2020;00:00:00;16.427;;;;;
34;07/18/2020;02:00:00;15.760;;;;;
35;07/18/2020;04:00:00;14.804;;;;;
36;07/18/2020;06:00:00;14.134;;;;;
37;07/18/2020;08:00:00;13.558;;;;;
38;07/18/2020;10:00:00;13.654;;;;;
39;07/18/2020;12:00:00;17.094;;;;;
40;07/18/2020;14:00:00;26.390;;;;;
41;07/18/2020;16:00:00;27.272;;;;;
42;07/18/2020;18:00:00;22.812;;;;;
43;07/18/2020;20:00:00;19.377;;;;;
44;07/18/2020;22:00:00;17.570;;;;;
45;07/19/2020;00:00:00;15.951;;;;;
46;07/19/2020;02:00:00;14.517;;;;;
47;07/19/2020;04:00:00;13.269;;;;;
48;07/19/2020;06:00:00;12.110;;;;;
49;07/19/2020;08:00:00;11.528;;;;;
50;07/19/2020;10:00:00;12.401;;;;;
51;07/19/2020;12:00:00;17.760;;;;;
52;07/19/2020;14:00:00;26.977;;;;;
53;07/19/2020;16:00:00;27.075;;;;;
54;07/19/2020;18:00:00;23.004;;;;;
55;07/19/2020;20:00:00;21.282;;;;;
56;07/19/2020;22:00:00;19.282;;;;;
57;07/20/2020;00:00:00;16.999;;;;;
58;07/20/2020;02:00:00;15.282;;;;;
59;07/20/2020;04:00:00;13.750;;;;;
60;07/20/2020;06:00:00;12.497;;;;;
61;07/20/2020;08:00:00;11.819;;;;;
62;07/20/2020;10:00:00;12.497;;;;;
63;07/20/2020;12:00:00;17.760;;;;;
64;07/20/2020;14:00:00;27.468;;;;;
65;07/20/2020;16:00:00;28.754;;;;;
66;07/20/2020;18:00:00;25.416;;;;;
67;07/20/2020;20:00:00;22.142;;;;;
68;07/20/2020;22:00:00;19.567;;;;;
69;07/21/2020;00:00:00;17.189;;;;;
70;07/21/2020;02:00:00;15.569;;;;;
71;07/21/2020;04:00:00;14.325;;;;;
72;07/21/2020;06:00:00;13.365;;;;;
73;07/21/2020;08:00:00;12.980;;;;;
74;07/21/2020;10:00:00;14.613;;;;;
75;07/21/2020;12:00:00;20.138;;;;;
76;07/21/2020;14:00:00;27.862;;;;;
77;07/21/2020;16:00:00;28.953;;;;;
78;07/21/2020;18:00:00;26.585;;;;;
79;07/21/2020;20:00:00;24.738;;;;;
80;07/21/2020;22:00:00;21.951;;;;;
81;07/22/2020;00:00:00;17.760;;;;;
82;07/22/2020;02:00:00;15.855;;;;;
83;07/22/2020;04:00:00;14.325;;;;;
84;07/22/2020;06:00:00;12.883;;;;;
85;07/22/2020;08:00:00;12.304;;;;;
86;07/22/2020;10:00:00;13.461;;;;;
87;07/22/2020;12:00:00;17.665;;;;;
88;07/22/2020;14:00:00;24.931;;;;;
89;07/22/2020;16:00:00;23.677;;;;;
90;07/22/2020;18:00:00;22.333;;;;;
91;07/22/2020;20:00:00;16.713;;;;;
92;07/22/2020;22:00:00;15.760;;;;;
93;07/23/2020;00:00:00;15.091;;;;;
94;07/23/2020;02:00:00;13.750;;;;;
95;07/23/2020;04:00:00;12.787;;;;;
96;07/23/2020;06:00:00;12.207;;;;;
97;07/23/2020;08:00:00;11.819;;;;;
98;07/23/2020;10:00:00;12.883;;;;;
99;07/23/2020;12:00:00;16.332;;;;;
100;07/23/2020;14:00:00;22.238;;;;;
101;07/23/2020;16:00:00;22.621;;;;;
102;07/23/2020;18:00:00;21.187;;;;;
103;07/23/2020;20:00:00;19.853;;;;;
