Titre de tracé : 11015765;;;
#;Date;Heure;Moy. : Température, °C (LGR S/N: 11015765)
18;07/17/2020;18:00:00;19.282
19;07/17/2020;20:00:00;18.236
20;07/17/2020;22:00:00;16.903
21;07/18/2020;00:00:00;15.664
22;07/18/2020;02:00:00;14.613
23;07/18/2020;04:00:00;13.076
24;07/18/2020;06:00:00;12.207
25;07/18/2020;08:00:00;11.431
26;07/18/2020;10:00:00;11.528
27;07/18/2020;12:00:00;11.916
28;07/18/2020;14:00:00;13.750
29;07/18/2020;16:00:00;16.999
30;07/18/2020;18:00:00;28.258
31;07/18/2020;20:00:00;19.567
32;07/18/2020;22:00:00;17.570
33;07/19/2020;00:00:00;16.427
34;07/19/2020;02:00:00;14.804
35;07/19/2020;04:00:00;13.461
36;07/19/2020;06:00:00;12.207
37;07/19/2020;08:00:00;11.625
38;07/19/2020;10:00:00;11.528
39;07/19/2020;12:00:00;11.819
40;07/19/2020;14:00:00;13.750
41;07/19/2020;16:00:00;16.618
42;07/19/2020;18:00:00;18.045
43;07/19/2020;20:00:00;17.094
44;07/19/2020;22:00:00;15.760
45;07/20/2020;00:00:00;14.325
46;07/20/2020;02:00:00;13.365
47;07/20/2020;04:00:00;12.304
48;07/20/2020;06:00:00;11.236
49;07/20/2020;08:00:00;10.651
50;07/20/2020;10:00:00;10.748
51;07/20/2020;12:00:00;11.139
52;07/20/2020;14:00:00;13.269
53;07/20/2020;16:00:00;16.523
54;07/20/2020;18:00:00;29.352
55;07/20/2020;20:00:00;20.234
56;07/20/2020;22:00:00;18.331
57;07/21/2020;00:00:00;16.618
58;07/21/2020;02:00:00;15.187
59;07/21/2020;04:00:00;14.038
60;07/21/2020;06:00:00;13.076
61;07/21/2020;08:00:00;12.980
62;07/21/2020;10:00:00;13.269
63;07/21/2020;12:00:00;14.038
64;07/21/2020;14:00:00;15.378
65;07/21/2020;16:00:00;16.808
66;07/21/2020;18:00:00;18.806
67;07/21/2020;20:00:00;17.284
68;07/21/2020;22:00:00;15.951
69;07/22/2020;00:00:00;14.804
70;07/22/2020;02:00:00;13.461
71;07/22/2020;04:00:00;12.401
72;07/22/2020;06:00:00;11.722
73;07/22/2020;08:00:00;11.528
74;07/22/2020;10:00:00;11.916
75;07/22/2020;12:00:00;12.497
76;07/22/2020;14:00:00;14.421
77;07/22/2020;16:00:00;15.760
78;07/22/2020;18:00:00;15.855
79;07/22/2020;20:00:00;13.942
80;07/22/2020;22:00:00;12.594
81;07/23/2020;00:00:00;12.110
82;07/23/2020;02:00:00;11.236
83;07/23/2020;04:00:00;10.553
84;07/23/2020;06:00:00;9.866
85;07/23/2020;08:00:00;9.472
86;07/23/2020;10:00:00;9.669
87;07/23/2020;12:00:00;10.161
88;07/23/2020;14:00:00;12.110
89;07/23/2020;16:00:00;15.091
90;07/23/2020;18:00:00;21.282
91;07/23/2020;20:00:00;17.855
92;07/23/2020;22:00:00;16.237
