Titre de tracé : 20011423;;;;;
#;Date;Heure; GMT+02:00;Moy. : Température; °C (LGR S/N: 20011423)
126;09/15/2020;18:00:00;23.100;;
127;09/15/2020;20:00:00;20.043;;
128;09/15/2020;22:00:00;18.331;;
129;09/16/2020;00:00:00;17.284;;
130;09/16/2020;02:00:00;16.332;;
131;09/16/2020;04:00:00;15.664;;
132;09/16/2020;06:00:00;15.091;;
133;09/16/2020;08:00:00;15.760;;
134;09/16/2020;10:00:00;21.187;;
135;09/16/2020;12:00:00;26.292;;
136;09/16/2020;14:00:00;24.351;;
137;09/16/2020;16:00:00;26.488;;
138;09/16/2020;18:00:00;21.760;;
139;09/16/2020;20:00:00;18.331;;
140;09/16/2020;22:00:00;16.523;;
141;09/17/2020;00:00:00;15.378;;
142;09/17/2020;02:00:00;14.613;;
143;09/17/2020;04:00:00;14.134;;
144;09/17/2020;06:00:00;13.654;;
145;09/17/2020;08:00:00;14.517;;
146;09/17/2020;10:00:00;19.948;;
147;09/17/2020;12:00:00;24.158;;
148;09/17/2020;14:00:00;23.773;;
149;09/17/2020;16:00:00;23.966;;
150;09/17/2020;18:00:00;20.519;;
151;09/17/2020;20:00:00;17.855;;
152;09/17/2020;22:00:00;16.237;;
153;09/18/2020;00:00:00;15.282;;
154;09/18/2020;02:00:00;14.804;;
155;09/18/2020;04:00:00;14.038;;
156;09/18/2020;06:00:00;13.558;;
157;09/18/2020;08:00:00;14.325;;
158;09/18/2020;10:00:00;19.948;;
159;09/18/2020;12:00:00;24.641;;
160;09/18/2020;14:00:00;25.902;;
161;09/18/2020;16:00:00;25.902;;
162;09/18/2020;18:00:00;21.091;;
163;09/18/2020;20:00:00;18.426;;
164;09/18/2020;22:00:00;17.189;;
165;09/19/2020;00:00:00;16.713;;
166;09/19/2020;02:00:00;16.141;;
167;09/19/2020;04:00:00;15.473;;
168;09/19/2020;06:00:00;14.325;;
169;09/19/2020;08:00:00;13.942;;
170;09/19/2020;10:00:00;16.141;;
171;09/19/2020;12:00:00;15.951;;
172;09/19/2020;14:00:00;17.284;;
173;09/19/2020;16:00:00;16.141;;
174;09/19/2020;18:00:00;14.804;;
175;09/19/2020;20:00:00;13.942;;
176;09/19/2020;22:00:00;13.461;;
177;09/20/2020;00:00:00;13.076;;
178;09/20/2020;02:00:00;12.690;;
179;09/20/2020;04:00:00;12.401;;
180;09/20/2020;06:00:00;11.722;;
181;09/20/2020;08:00:00;12.013;;
182;09/20/2020;10:00:00;15.951;;
183;09/20/2020;12:00:00;15.378;;
184;09/20/2020;14:00:00;15.951;;
185;09/20/2020;16:00:00;14.996;;
186;09/20/2020;18:00:00;13.750;;
187;09/20/2020;20:00:00;12.980;;
188;09/20/2020;22:00:00;12.497;;
189;09/21/2020;00:00:00;12.207;;
190;09/21/2020;02:00:00;11.916;;
191;09/21/2020;04:00:00;11.334;;
192;09/21/2020;06:00:00;10.651;;
193;09/21/2020;08:00:00;10.846;;
194;09/21/2020;10:00:00;13.269;;
195;09/21/2020;12:00:00;14.517;;
196;09/21/2020;14:00:00;14.421;;
197;09/21/2020;16:00:00;13.942;;
198;09/21/2020;18:00:00;12.883;;
199;09/21/2020;20:00:00;12.304;;
200;09/21/2020;22:00:00;11.819;;
201;09/22/2020;00:00:00;11.431;;
202;09/22/2020;02:00:00;11.236;;
203;09/22/2020;04:00:00;11.139;;
204;09/22/2020;06:00:00;10.846;;
205;09/22/2020;08:00:00;10.846;;
206;09/22/2020;10:00:00;10.944;;
207;09/22/2020;12:00:00;11.625;;
208;09/22/2020;14:00:00;11.819;;
209;09/22/2020;16:00:00;11.334;;
210;09/22/2020;18:00:00;10.748;;
211;09/22/2020;20:00:00;10.259;;
212;09/22/2020;22:00:00;10.063;;
213;09/23/2020;00:00:00;9.866;;
214;09/23/2020;02:00:00;9.768;;
215;09/23/2020;04:00:00;9.571;;
216;09/23/2020;06:00:00;9.472;;
217;09/23/2020;08:00:00;9.768;;
218;09/23/2020;10:00:00;12.594;;
219;09/23/2020;12:00:00;18.521;;
