Titre de tracé : 20011418;;;
#;Date;Heure  GMT+02:00;Moy. : Température  °C (LGR S/N: 20011418)
6;07/16/2020;18:00:00;18.996
7;07/16/2020;20:00:00;16.427
8;07/16/2020;22:00:00;14.900
9;07/17/2020;00:00:00;13.269
10;07/17/2020;02:00:00;12.110
11;07/17/2020;04:00:00;11.625
12;07/17/2020;06:00:00;11.041
13;07/17/2020;08:00:00;13.365
14;07/17/2020;10:00:00;19.187
15;07/17/2020;12:00:00;24.255
16;07/17/2020;14:00:00;26.195
17;07/17/2020;16:00:00;26.000
18;07/17/2020;18:00:00;21.187
19;07/17/2020;20:00:00;18.521
20;07/17/2020;22:00:00;16.618
21;07/18/2020;00:00:00;15.569
22;07/18/2020;02:00:00;13.942
23;07/18/2020;04:00:00;13.076
24;07/18/2020;06:00:00;12.207
25;07/18/2020;08:00:00;15.187
26;07/18/2020;10:00:00;21.187
27;07/18/2020;12:00:00;27.173
28;07/18/2020;14:00:00;29.352
29;07/18/2020;16:00:00;24.158
30;07/18/2020;18:00:00;20.805
31;07/18/2020;20:00:00;18.140
32;07/18/2020;22:00:00;16.046
33;07/19/2020;00:00:00;15.091
34;07/19/2020;02:00:00;14.038
35;07/19/2020;04:00:00;12.690
36;07/19/2020;06:00:00;11.722
37;07/19/2020;08:00:00;14.325
38;07/19/2020;10:00:00;20.901
39;07/19/2020;12:00:00;26.292
40;07/19/2020;14:00:00;30.054
41;07/19/2020;16:00:00;28.159
42;07/19/2020;18:00:00;22.333
43;07/19/2020;20:00:00;19.662
44;07/19/2020;22:00:00;16.713
45;07/20/2020;00:00:00;15.569
46;07/20/2020;02:00:00;14.325
47;07/20/2020;04:00:00;12.787
48;07/20/2020;06:00:00;11.625
49;07/20/2020;08:00:00;13.846
50;07/20/2020;10:00:00;21.378
51;07/20/2020;12:00:00;26.683
52;07/20/2020;14:00:00;29.053
53;07/20/2020;16:00:00;29.452
54;07/20/2020;18:00:00;26.097
55;07/20/2020;20:00:00;20.138
56;07/20/2020;22:00:00;17.570
57;07/21/2020;00:00:00;15.855
58;07/21/2020;02:00:00;14.517
59;07/21/2020;04:00:00;13.654
60;07/21/2020;06:00:00;13.269
61;07/21/2020;08:00:00;15.378
62;07/21/2020;10:00:00;16.808
63;07/21/2020;12:00:00;22.717
64;07/21/2020;14:00:00;21.760
65;07/21/2020;16:00:00;21.951
66;07/21/2020;18:00:00;21.569
67;07/21/2020;20:00:00;18.616
68;07/21/2020;22:00:00;15.664
69;07/22/2020;00:00:00;12.497
70;07/22/2020;02:00:00;12.013
71;07/22/2020;04:00:00;11.041
72;07/22/2020;06:00:00;10.553
73;07/22/2020;08:00:00;12.690
74;07/22/2020;10:00:00;16.618
75;07/22/2020;12:00:00;21.378
76;07/22/2020;14:00:00;20.519
77;07/22/2020;16:00:00;18.806
78;07/22/2020;18:00:00;16.903
79;07/22/2020;20:00:00;13.365
80;07/22/2020;22:00:00;12.594
81;07/23/2020;00:00:00;12.304
82;07/23/2020;02:00:00;11.139
83;07/23/2020;04:00:00;10.553
84;07/23/2020;06:00:00;9.866
85;07/23/2020;08:00:00;11.528
86;07/23/2020;10:00:00;17.475
87;07/23/2020;12:00:00;20.424
88;07/23/2020;14:00:00;22.429
89;07/23/2020;16:00:00;22.333
90;07/23/2020;18:00:00;19.092
91;07/23/2020;20:00:00;16.427
92;07/23/2020;22:00:00;14.613
93;07/24/2020;00:00:00;13.173
94;07/24/2020;02:00:00;11.819
95;07/24/2020;04:00:00;11.139
96;07/24/2020;06:00:00;10.748
97;07/24/2020;08:00:00;11.041
98;07/24/2020;10:00:00;12.110
99;07/24/2020;12:00:00;15.569
100;07/24/2020;14:00:00;17.760
101;07/24/2020;16:00:00;16.713
102;07/24/2020;18:00:00;14.996
103;07/24/2020;20:00:00;13.750
104;07/24/2020;22:00:00;12.304
105;07/25/2020;00:00:00;10.748
106;07/25/2020;02:00:00;9.768
107;07/25/2020;04:00:00;8.978
108;07/25/2020;06:00:00;8.282
109;07/25/2020;08:00:00;10.161
110;07/25/2020;10:00:00;15.951
111;07/25/2020;12:00:00;20.615
112;07/25/2020;14:00:00;22.238
113;07/25/2020;16:00:00;22.429
114;07/25/2020;18:00:00;18.521
115;07/25/2020;20:00:00;16.046
116;07/25/2020;22:00:00;14.421
117;07/26/2020;00:00:00;13.269
118;07/26/2020;02:00:00;12.110
119;07/26/2020;04:00:00;11.528
120;07/26/2020;06:00:00;10.748
121;07/26/2020;08:00:00;12.013
122;07/26/2020;10:00:00;15.187
123;07/26/2020;12:00:00;17.760
124;07/26/2020;14:00:00;16.141
125;07/26/2020;16:00:00;16.332
126;07/26/2020;18:00:00;16.903
127;07/26/2020;20:00:00;14.804
128;07/26/2020;22:00:00;12.980
129;07/27/2020;00:00:00;11.819
130;07/27/2020;02:00:00;11.139
131;07/27/2020;04:00:00;10.455
132;07/27/2020;06:00:00;9.965
133;07/27/2020;08:00:00;11.625
134;07/27/2020;10:00:00;17.760
135;07/27/2020;12:00:00;22.621
136;07/27/2020;14:00:00;24.931
137;07/27/2020;16:00:00;25.610
138;07/27/2020;18:00:00;22.621
139;07/27/2020;20:00:00;18.426
140;07/27/2020;22:00:00;16.427
141;07/28/2020;00:00:00;15.187
142;07/28/2020;02:00:00;14.325
143;07/28/2020;04:00:00;13.558
144;07/28/2020;06:00:00;13.173
145;07/28/2020;08:00:00;13.461
146;07/28/2020;10:00:00;14.613
147;07/28/2020;12:00:00;21.091
148;07/28/2020;14:00:00;19.662
149;07/28/2020;16:00:00;20.234
150;07/28/2020;18:00:00;17.094
151;07/28/2020;20:00:00;15.187
152;07/28/2020;22:00:00;14.134
153;07/29/2020;00:00:00;13.365
154;07/29/2020;02:00:00;12.883
155;07/29/2020;04:00:00;12.594
156;07/29/2020;06:00:00;12.304
157;07/29/2020;08:00:00;13.365
158;07/29/2020;10:00:00;18.806
159;07/29/2020;12:00:00;23.773
160;07/29/2020;14:00:00;21.569
161;07/29/2020;16:00:00;20.329
162;07/29/2020;18:00:00;20.043
163;07/29/2020;20:00:00;18.140
164;07/29/2020;22:00:00;16.141
165;07/30/2020;00:00:00;14.709
166;07/30/2020;02:00:00;13.654
167;07/30/2020;04:00:00;13.269
168;07/30/2020;06:00:00;12.594
169;07/30/2020;08:00:00;13.461
170;07/30/2020;10:00:00;19.662
171;07/30/2020;12:00:00;23.581
172;07/30/2020;14:00:00;23.677
173;07/30/2020;16:00:00;23.004
174;07/30/2020;18:00:00;19.948
175;07/30/2020;20:00:00;15.187
176;07/30/2020;22:00:00;13.846
177;07/31/2020;00:00:00;12.980
178;07/31/2020;02:00:00;12.207
179;07/31/2020;04:00:00;11.334
180;07/31/2020;06:00:00;10.846
181;07/31/2020;08:00:00;12.787
182;07/31/2020;10:00:00;17.760
183;07/31/2020;12:00:00;21.473
184;07/31/2020;14:00:00;23.869
185;07/31/2020;16:00:00;23.004
186;07/31/2020;18:00:00;20.234
187;07/31/2020;20:00:00;18.140
188;07/31/2020;22:00:00;16.141
189;08/01/2020;00:00:00;14.709
190;08/01/2020;02:00:00;13.750
191;08/01/2020;04:00:00;12.980
192;08/01/2020;06:00:00;12.401
193;08/01/2020;08:00:00;13.461
194;08/01/2020;10:00:00;18.616
195;08/01/2020;12:00:00;22.908
196;08/01/2020;14:00:00;26.292
197;08/01/2020;16:00:00;26.488
198;08/01/2020;18:00:00;22.812
199;08/01/2020;20:00:00;19.853
200;08/01/2020;22:00:00;16.903
201;08/02/2020;00:00:00;15.187
202;08/02/2020;02:00:00;13.942
203;08/02/2020;04:00:00;12.883
204;08/02/2020;06:00:00;12.110
205;08/02/2020;08:00:00;13.269
206;08/02/2020;10:00:00;16.046
207;08/02/2020;12:00:00;18.236
208;08/02/2020;14:00:00;22.142
