Titre de tracé : 20011402;;;;;
#;Date;Heure;Moy. : Température, °C (LGR S/N: 20011402);Pile défectueuse (LGR S/N: 20011402);Fin de fichier (LGR S/N: 20011402)
6;07/15/2020;18:00:00;20.519;;
7;07/15/2020;20:00:00;16.903;;
8;07/15/2020;22:00:00;14.996;;
9;07/16/2020;00:00:00;14.038;;
10;07/16/2020;02:00:00;11.528;;
11;07/16/2020;04:00:00;10.748;;
12;07/16/2020;06:00:00;10.161;;
13;07/16/2020;08:00:00;11.916;;
14;07/16/2020;10:00:00;23.196;;
15;07/16/2020;12:00:00;33.535;;
16;07/16/2020;14:00:00;37.935;;
17;07/16/2020;16:00:00;32.086;;
18;07/16/2020;18:00:00;21.855;;
19;07/16/2020;20:00:00;17.379;;
20;07/16/2020;22:00:00;14.517;;
21;07/17/2020;00:00:00;12.980;;
22;07/17/2020;02:00:00;11.916;;
23;07/17/2020;04:00:00;11.139;;
24;07/17/2020;06:00:00;10.553;;
25;07/17/2020;08:00:00;12.013;;
26;07/17/2020;10:00:00;24.738;;
27;07/17/2020;12:00:00;34.585;;
28;07/17/2020;14:00:00;37.384;;
29;07/17/2020;16:00:00;33.639;;
30;07/17/2020;18:00:00;22.142;;
31;07/17/2020;20:00:00;17.950;;
32;07/17/2020;22:00:00;15.282;;
33;07/18/2020;00:00:00;13.365;;
34;07/18/2020;02:00:00;12.207;;
35;07/18/2020;04:00:00;11.139;;
36;07/18/2020;06:00:00;10.553;;
37;07/18/2020;08:00:00;12.304;;
38;07/18/2020;10:00:00;19.472;;
39;07/18/2020;12:00:00;26.488;;
40;07/18/2020;14:00:00;36.079;;
41;07/18/2020;16:00:00;31.472;;
42;07/18/2020;18:00:00;20.901;;
43;07/18/2020;20:00:00;17.665;;
44;07/18/2020;22:00:00;14.421;;
45;07/19/2020;00:00:00;12.787;;
46;07/19/2020;02:00:00;11.528;;
47;07/19/2020;04:00:00;10.944;;
48;07/19/2020;06:00:00;10.357;;
49;07/19/2020;08:00:00;12.110;;
50;07/19/2020;10:00:00;25.319;;
51;07/19/2020;12:00:00;35.542;;
52;07/19/2020;14:00:00;39.050;;
53;07/19/2020;16:00:00;35.756;;
