Titre de tracé : 20011406;;;;;;;
#;Date;Heure;Moy. : Température, °C (LGR S/N: 20011406);Coupleur attaché (LGR S/N: 20011406);Hôte connecté (LGR S/N: 20011406);Arrêté (LGR S/N: 20011406);Fin de fichier (LGR S/N: 20011406)
7;07/31/2020;20:00:00;21.473;;;;
8;07/31/2020;22:00:00;19.567;;;;
9;08/01/2020;00:00:00;18.331;;;;
10;08/01/2020;02:00:00;17.379;;;;
11;08/01/2020;04:00:00;16.618;;;;
12;08/01/2020;06:00:00;15.951;;;;
13;08/01/2020;08:00:00;15.760;;;;
14;08/01/2020;10:00:00;16.618;;;;
15;08/01/2020;12:00:00;20.615;;;;
16;08/01/2020;14:00:00;26.000;;;;
17;08/01/2020;16:00:00;28.655;;;;
18;08/01/2020;18:00:00;27.075;;;;
19;08/01/2020;20:00:00;22.238;;;;
20;08/01/2020;22:00:00;20.329;;;;
21;08/02/2020;00:00:00;18.996;;;;
22;08/02/2020;02:00:00;17.950;;;;
23;08/02/2020;04:00:00;16.903;;;;
24;08/02/2020;06:00:00;16.046;;;;
25;08/02/2020;08:00:00;15.664;;;;
26;08/02/2020;10:00:00;17.570;;;;
27;08/02/2020;12:00:00;20.805;;;;
28;08/02/2020;14:00:00;25.125;;;;
29;08/02/2020;16:00:00;23.484;;;;
30;08/02/2020;18:00:00;20.805;;;;
31;08/02/2020;20:00:00;19.092;;;;
32;08/02/2020;22:00:00;17.379;;;;
33;08/03/2020;00:00:00;16.999;;;;
34;08/03/2020;02:00:00;16.237;;;;
35;08/03/2020;04:00:00;15.664;;;;
36;08/03/2020;06:00:00;15.187;;;;
37;08/03/2020;08:00:00;14.996;;;;
38;08/03/2020;10:00:00;15.378;;;;
39;08/03/2020;12:00:00;15.760;;;;
40;08/03/2020;14:00:00;15.569;;;;
41;08/03/2020;16:00:00;14.613;;;;
42;08/03/2020;18:00:00;12.594;;;;
43;08/03/2020;20:00:00;11.334;;;;
44;08/03/2020;22:00:00;10.259;;;;
45;08/04/2020;00:00:00;9.669;;;;
46;08/04/2020;02:00:00;8.680;;;;
47;08/04/2020;04:00:00;7.582;;;;
48;08/04/2020;06:00:00;7.179;;;;
49;08/04/2020;08:00:00;7.381;;;;
50;08/04/2020;10:00:00;8.082;;;;
51;08/04/2020;12:00:00;11.139;;;;
52;08/04/2020;14:00:00;12.013;;;;
53;08/04/2020;16:00:00;12.013;;;;
54;08/04/2020;18:00:00;10.748;;;;
55;08/04/2020;20:00:00;10.357;;;;
56;08/04/2020;22:00:00;9.571;;;;
57;08/05/2020;00:00:00;8.978;;;;
58;08/05/2020;02:00:00;8.680;;;;
59;08/05/2020;04:00:00;8.382;;;;
60;08/05/2020;06:00:00;7.882;;;;
61;08/05/2020;08:00:00;7.682;;;;
62;08/05/2020;10:00:00;8.779;;;;
63;08/05/2020;12:00:00;13.461;;;;
64;08/05/2020;14:00:00;19.377;;;;
65;08/05/2020;16:00:00;23.004;;;;
66;08/05/2020;18:00:00;22.525;;;;
67;08/05/2020;20:00:00;17.855;;;;
68;08/05/2020;22:00:00;15.664;;;;
69;08/06/2020;00:00:00;14.421;;;;
70;08/06/2020;02:00:00;13.558;;;;
71;08/06/2020;04:00:00;12.594;;;;
72;08/06/2020;06:00:00;11.916;;;;
73;08/06/2020;08:00:00;11.334;;;;
74;08/06/2020;10:00:00;12.207;;;;
75;08/06/2020;12:00:00;16.618;;;;
76;08/06/2020;14:00:00;22.333;;;;
77;08/06/2020;16:00:00;24.835;;;;
78;08/06/2020;18:00:00;23.004;;;;
79;08/06/2020;20:00:00;18.426;;;;
80;08/06/2020;22:00:00;16.618;;;;
81;08/07/2020;00:00:00;15.473;;;;
82;08/07/2020;02:00:00;14.613;;;;
83;08/07/2020;04:00:00;13.846;;;;
84;08/07/2020;06:00:00;13.173;;;;
85;08/07/2020;08:00:00;12.690;;;;
86;08/07/2020;10:00:00;13.558;;;;
87;08/07/2020;12:00:00;17.475;;;;
88;08/07/2020;14:00:00;22.621;;;;
89;08/07/2020;16:00:00;24.931;;;;
90;08/07/2020;18:00:00;23.677;;;;
91;08/07/2020;20:00:00;18.996;;;;
92;08/07/2020;22:00:00;17.284;;;;
93;08/08/2020;00:00:00;16.046;;;;
94;08/08/2020;02:00:00;15.187;;;;
95;08/08/2020;04:00:00;14.230;;;;
96;08/08/2020;06:00:00;13.654;;;;
97;08/08/2020;08:00:00;13.269;;;;
98;08/08/2020;10:00:00;14.134;;;;
99;08/08/2020;12:00:00;18.140;;;;
100;08/08/2020;14:00:00;22.908;;;;
101;08/08/2020;16:00:00;25.902;;;;
102;08/08/2020;18:00:00;23.966;;;;
103;08/08/2020;20:00:00;19.948;;;;
104;08/08/2020;22:00:00;17.950;;;;
105;08/09/2020;00:00:00;16.808;;;;
106;08/09/2020;02:00:00;15.855;;;;
107;08/09/2020;04:00:00;15.091;;;;
108;08/09/2020;06:00:00;14.421;;;;
109;08/09/2020;08:00:00;13.846;;;;
110;08/09/2020;10:00:00;14.804;;;;
111;08/09/2020;12:00:00;19.187;;;;
112;08/09/2020;14:00:00;24.062;;;;
113;08/09/2020;16:00:00;26.488;;;;
114;08/09/2020;18:00:00;25.028;;;;
115;08/09/2020;20:00:00;20.519;;;;
116;08/09/2020;22:00:00;18.806;;;;
117;08/10/2020;00:00:00;17.475;;;;
