Titre de tracé : 11015761;;;
#;Date;Heure;Moy. : Température, °C (LGR S/N: 11015761)
6;07/31/2020;18:00:00;25.028
7;07/31/2020;20:00:00;21.473
8;07/31/2020;22:00:00;19.092
9;08/01/2020;00:00:00;17.475
10;08/01/2020;02:00:00;16.332
11;08/01/2020;04:00:00;15.378
12;08/01/2020;06:00:00;14.709
13;08/01/2020;08:00:00;14.900
14;08/01/2020;10:00:00;26.781
15;08/01/2020;12:00:00;34.163
16;08/01/2020;14:00:00;35.222
17;08/01/2020;16:00:00;29.853
18;08/01/2020;18:00:00;26.195
19;08/01/2020;20:00:00;23.004
20;08/01/2020;22:00:00;20.710
21;08/02/2020;00:00:00;18.616
22;08/02/2020;02:00:00;17.379
23;08/02/2020;04:00:00;15.855
24;08/02/2020;06:00:00;14.709
25;08/02/2020;08:00:00;14.996
26;08/02/2020;10:00:00;24.738
27;08/02/2020;12:00:00;28.853
28;08/02/2020;14:00:00;31.370
29;08/02/2020;16:00:00;26.195
30;08/02/2020;18:00:00;23.004
31;08/02/2020;20:00:00;20.710
32;08/02/2020;22:00:00;17.665
33;08/03/2020;00:00:00;16.618
34;08/03/2020;02:00:00;15.664
35;08/03/2020;04:00:00;14.900
36;08/03/2020;06:00:00;14.325
37;08/03/2020;08:00:00;14.804
38;08/03/2020;10:00:00;16.903
39;08/03/2020;12:00:00;18.806
40;08/03/2020;14:00:00;22.238
41;08/03/2020;16:00:00;17.379
42;08/03/2020;18:00:00;15.091
43;08/03/2020;20:00:00;11.334
44;08/03/2020;22:00:00;10.748
45;08/04/2020;00:00:00;10.357
46;08/04/2020;02:00:00;9.866
47;08/04/2020;04:00:00;9.176
48;08/04/2020;06:00:00;8.581
49;08/04/2020;08:00:00;8.481
50;08/04/2020;10:00:00;14.038
51;08/04/2020;12:00:00;18.806
52;08/04/2020;14:00:00;18.236
53;08/04/2020;16:00:00;16.332
54;08/04/2020;18:00:00;14.900
55;08/04/2020;20:00:00;12.690
56;08/04/2020;22:00:00;10.944
57;08/05/2020;00:00:00;9.965
58;08/05/2020;02:00:00;9.768
59;08/05/2020;04:00:00;9.373
60;08/05/2020;06:00:00;8.082
61;08/05/2020;08:00:00;7.882
62;08/05/2020;10:00:00;18.901
63;08/05/2020;12:00:00;25.222
64;08/05/2020;14:00:00;28.555
65;08/05/2020;16:00:00;22.812
66;08/05/2020;18:00:00;19.853
67;08/05/2020;20:00:00;17.094
68;08/05/2020;22:00:00;14.804
69;08/06/2020;00:00:00;13.365
70;08/06/2020;02:00:00;12.304
71;08/06/2020;04:00:00;11.334
72;08/06/2020;06:00:00;10.553
73;08/06/2020;08:00:00;10.259
74;08/06/2020;10:00:00;21.951
75;08/06/2020;12:00:00;28.357
76;08/06/2020;14:00:00;31.574
77;08/06/2020;16:00:00;24.931
78;08/06/2020;18:00:00;22.238
79;08/06/2020;20:00:00;18.426
80;08/06/2020;22:00:00;16.427
81;08/07/2020;00:00:00;14.996
82;08/07/2020;02:00:00;13.846
83;08/07/2020;04:00:00;12.787
84;08/07/2020;06:00:00;12.013
85;08/07/2020;08:00:00;11.819
86;08/07/2020;10:00:00;23.484
87;08/07/2020;12:00:00;30.255
88;08/07/2020;14:00:00;34.479
89;08/07/2020;16:00:00;26.488
90;08/07/2020;18:00:00;23.100
91;08/07/2020;20:00:00;19.567
92;08/07/2020;22:00:00;17.379
93;08/08/2020;00:00:00;15.760
94;08/08/2020;02:00:00;14.517
95;08/08/2020;04:00:00;13.558
96;08/08/2020;06:00:00;12.690
97;08/08/2020;08:00:00;12.497
98;08/08/2020;10:00:00;24.738
99;08/08/2020;12:00:00;31.983
100;08/08/2020;14:00:00;32.807
101;08/08/2020;16:00:00;27.173
102;08/08/2020;18:00:00;23.869
103;08/08/2020;20:00:00;20.329
104;08/08/2020;22:00:00;18.140
105;08/09/2020;00:00:00;16.523
106;08/09/2020;02:00:00;15.282
107;08/09/2020;04:00:00;14.230
108;08/09/2020;06:00:00;13.365
109;08/09/2020;08:00:00;13.076
110;08/09/2020;10:00:00;25.805
111;08/09/2020;12:00:00;31.676
112;08/09/2020;14:00:00;33.639
113;08/09/2020;16:00:00;27.862
114;08/09/2020;18:00:00;24.255
115;08/09/2020;20:00:00;20.996
116;08/09/2020;22:00:00;18.806
117;08/10/2020;00:00:00;17.189
118;08/10/2020;02:00:00;15.951
119;08/10/2020;04:00:00;14.996
120;08/10/2020;06:00:00;14.325
121;08/10/2020;08:00:00;15.282
122;08/10/2020;10:00:00;25.319
123;08/10/2020;12:00:00;21.760
124;08/10/2020;14:00:00;19.472
125;08/10/2020;16:00:00;18.711
126;08/10/2020;18:00:00;18.521
127;08/10/2020;20:00:00;15.569
128;08/10/2020;22:00:00;14.996
129;08/11/2020;00:00:00;14.613
130;08/11/2020;02:00:00;13.461
131;08/11/2020;04:00:00;12.594
132;08/11/2020;06:00:00;12.497
133;08/11/2020;08:00:00;12.690
134;08/11/2020;10:00:00;21.091
135;08/11/2020;12:00:00;27.862
136;08/11/2020;14:00:00;26.488
137;08/11/2020;16:00:00;23.484
138;08/11/2020;18:00:00;21.569
139;08/11/2020;20:00:00;19.377
140;08/11/2020;22:00:00;17.475
141;08/12/2020;00:00:00;16.237
142;08/12/2020;02:00:00;14.996
143;08/12/2020;04:00:00;14.134
144;08/12/2020;06:00:00;13.461
145;08/12/2020;08:00:00;13.461
146;08/12/2020;10:00:00;22.621
147;08/12/2020;12:00:00;27.567
148;08/12/2020;14:00:00;24.738
149;08/12/2020;16:00:00;18.521
150;08/12/2020;18:00:00;15.569
151;08/12/2020;20:00:00;16.046
152;08/12/2020;22:00:00;14.900
153;08/13/2020;00:00:00;13.846
154;08/13/2020;02:00:00;13.269
155;08/13/2020;04:00:00;13.269
156;08/13/2020;06:00:00;12.980
157;08/13/2020;08:00:00;13.654
158;08/13/2020;10:00:00;22.046
159;08/13/2020;12:00:00;23.869
160;08/13/2020;14:00:00;26.488
161;08/13/2020;16:00:00;22.238
162;08/13/2020;18:00:00;19.377
163;08/13/2020;20:00:00;18.236
164;08/13/2020;22:00:00;16.427
165;08/14/2020;00:00:00;14.517
166;08/14/2020;02:00:00;13.461
167;08/14/2020;04:00:00;12.594
168;08/14/2020;06:00:00;12.013
