Titre de tracé : 20011415;;;;;;
#;Date ;Heure GMT+02:00;Moy. : Température, °C (LGR S/N: 20011415);Coupleur attaché (LGR S/N: 20011415);Hôte connecté (LGR S/N: 20011415);Arrêté (LGR S/N: 20011415)
6;08/13/2020;18:00:00;16.427;;;
7;08/13/2020;20:00:00;12.980;;;
8;08/13/2020;22:00:00;12.013;;;
9;08/14/2020;00:00:00;9.768;;;
10;08/14/2020;02:00:00;9.866;;;
11;08/14/2020;04:00:00;9.275;;;
12;08/14/2020;06:00:00;8.082;;;
13;08/14/2020;08:00:00;8.282;;;
14;08/14/2020;10:00:00;17.475;;;
15;08/14/2020;12:00:00;23.292;;;
16;08/14/2020;14:00:00;26.195;;;
17;08/14/2020;16:00:00;23.773;;;
18;08/14/2020;18:00:00;18.616;;;
19;08/14/2020;20:00:00;13.558;;;
20;08/14/2020;22:00:00;13.076;;;
21;08/15/2020;00:00:00;11.334;;;
22;08/15/2020;02:00:00;9.866;;;
23;08/15/2020;04:00:00;8.581;;;
24;08/15/2020;06:00:00;7.682;;;
25;08/15/2020;08:00:00;7.481;;;
26;08/15/2020;10:00:00;17.284;;;
27;08/15/2020;12:00:00;22.717;;;
28;08/15/2020;14:00:00;24.835;;;
29;08/15/2020;16:00:00;22.908;;;
30;08/15/2020;18:00:00;17.760;;;
31;08/15/2020;20:00:00;14.900;;;
32;08/15/2020;22:00:00;12.304;;;
33;08/16/2020;00:00:00;10.748;;;
34;08/16/2020;02:00:00;9.472;;;
35;08/16/2020;04:00:00;8.581;;;
36;08/16/2020;06:00:00;8.082;;;
37;08/16/2020;08:00:00;8.581;;;
38;08/16/2020;10:00:00;18.331;;;
39;08/16/2020;12:00:00;21.569;;;
40;08/16/2020;14:00:00;22.333;;;
41;08/16/2020;16:00:00;21.091;;;
42;08/16/2020;18:00:00;18.521;;;
43;08/16/2020;20:00:00;16.237;;;
44;08/16/2020;22:00:00;13.654;;;
45;08/17/2020;00:00:00;11.334;;;
46;08/17/2020;02:00:00;11.041;;;
47;08/17/2020;04:00:00;10.748;;;
48;08/17/2020;06:00:00;10.357;;;
49;08/17/2020;08:00:00;9.768;;;
50;08/17/2020;10:00:00;13.750;;;
51;08/17/2020;12:00:00;17.094;;;
52;08/17/2020;14:00:00;20.519;;;
53;08/17/2020;16:00:00;17.189;;;
54;08/17/2020;18:00:00;13.269;;;
55;08/17/2020;20:00:00;11.041;;;
56;08/17/2020;22:00:00;10.553;;;
57;08/18/2020;00:00:00;7.983;;;
58;08/18/2020;02:00:00;9.176;;;
59;08/18/2020;04:00:00;8.978;;;
60;08/18/2020;06:00:00;8.680;;;
61;08/18/2020;08:00:00;8.581;;;
62;08/18/2020;10:00:00;13.654;;;
63;08/18/2020;12:00:00;20.138;;;
64;08/18/2020;14:00:00;18.616;;;
65;08/18/2020;16:00:00;16.523;;;
66;08/18/2020;18:00:00;14.996;;;
67;08/18/2020;20:00:00;12.883;;;
